年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,486.000000,450.000000,36.000000,99.000000,9.000000,19.000000,87.000000,31.000000,6.000000,12.000000,6.000000,33.000000,14.000000,5.000000,8.000000,14.000000,4.000000,5.000000,23.000000,7.000000,22.000000,10.000000,33.000000,3.000000
2002,507.000000,471.000000,41.000000,100.000000,10.000000,21.000000,92.000000,32.000000,10.000000,12.000000,6.000000,33.000000,14.000000,5.000000,8.000000,14.000000,4.000000,5.000000,23.000000,7.000000,23.000000,11.000000,33.000000,3.000000
2003,555.000000,519.000000,44.000000,106.000000,10.000000,22.000000,119.000000,33.000000,14.000000,13.000000,7.000000,33.000000,15.000000,5.000000,9.000000,14.000000,4.000000,7.000000,23.000000,7.000000,23.000000,11.000000,33.000000,3.000000
2004,592.000000,556.000000,46.000000,114.000000,10.000000,24.000000,127.000000,40.000000,17.000000,16.000000,7.000000,34.000000,15.000000,6.000000,9.000000,16.000000,4.000000,7.000000,23.000000,7.000000,23.000000,11.000000,33.000000,3.000000
2005,616.000000,580.000000,51.000000,118.000000,10.000000,25.000000,130.000000,41.000000,23.000000,16.000000,7.000000,34.000000,15.000000,7.000000,9.000000,16.000000,4.000000,9.000000,23.000000,7.000000,23.000000,12.000000,33.000000,3.000000
2006,648.000000,606.000000,52.000000,132.000000,10.000000,27.000000,126.000000,40.000000,24.000000,20.000000,8.000000,34.000000,19.000000,11.000000,9.000000,18.000000,-,6.000000,23.000000,12.000000,23.000000,12.000000,39.000000,3.000000
2007,671.000000,625.000000,56.000000,141.000000,10.000000,29.000000,127.000000,43.000000,27.000000,21.000000,8.000000,35.000000,13.000000,10.000000,9.000000,18.000000,-,6.000000,23.000000,12.000000,23.000000,14.000000,43.000000,3.000000
2008,690.000000,644.000000,60.000000,145.000000,12.000000,31.000000,127.000000,44.000000,27.000000,21.000000,8.000000,35.000000,14.000000,10.000000,10.000000,18.000000,-,9.000000,23.000000,13.000000,23.000000,14.000000,43.000000,3.000000
2009,712.000000,666.000000,63.000000,147.000000,13.000000,31.000000,129.000000,43.000000,27.000000,23.000000,8.000000,37.000000,13.000000,16.000000,15.000000,18.000000,-,10.000000,23.000000,13.000000,23.000000,14.000000,43.000000,3.000000
2010,735.000000,688.000000,63.000000,148.000000,14.000000,34.000000,131.000000,45.000000,29.000000,24.000000,10.000000,39.000000,14.000000,19.000000,15.000000,18.000000,-,10.000000,25.000000,13.000000,23.000000,14.000000,44.000000,3.000000
2011,752.000000,705.000000,65.000000,150.000000,14.000000,36.000000,131.000000,45.000000,30.000000,24.000000,10.000000,41.000000,15.000000,19.000000,15.000000,18.000000,-,13.000000,26.000000,13.000000,26.000000,14.000000,44.000000,3.000000
2012,769.000000,721.000000,68.000000,151.000000,14.000000,39.000000,131.000000,45.000000,31.000000,24.000000,10.000000,43.000000,15.000000,22.000000,15.000000,18.000000,-,15.000000,26.000000,13.000000,27.000000,14.000000,45.000000,3.000000
2013,789.000000,741.000000,153.000000,71.000000,14.000000,42.000000,132.000000,45.000000,34.000000,24.000000,10.000000,43.000000,15.000000,22.000000,16.000000,18.000000,-,17.000000,26.000000,13.000000,32.000000,14.000000,45.000000,3.000000
2014,815.000000,767.000000,74.000000,156.000000,17.000000,44.000000,136.000000,47.000000,34.000000,24.000000,11.000000,46.000000,15.000000,22.000000,19.000000,19.000000,-,17.000000,26.000000,13.000000,32.000000,15.000000,45.000000,3.000000
2015,855.000000,791.000000,77.000000,155.000000,17.000000,49.000000,138.000000,49.000000,36.000000,24.000000,11.000000,50.000000,15.000000,24.000000,21.000000,19.000000,-,17.000000,27.000000,14.000000,33.000000,15.000000,61.000000,3.000000
2016,890.000000,813.000000,81.000000,157.000000,18.000000,52.000000,138.000000,50.000000,38.000000,24.000000,11.000000,51.000000,15.000000,25.000000,22.000000,22.000000,-,18.000000,27.000000,14.000000,35.000000,15.000000,74.000000,3.000000
2017,913.000000,835.000000,84.000000,168.000000,20.000000,54.000000,139.000000,49.000000,38.000000,26.000000,11.000000,51.000000,15.000000,27.000000,22.000000,22.000000,-,18.000000,27.000000,14.000000,35.000000,15.000000,74.000000,4.000000
2018,941.000000,861.000000,89.000000,171.000000,21.000000,54.000000,142.000000,49.000000,38.000000,29.000000,12.000000,56.000000,16.000000,28.000000,23.000000,22.000000,-,18.000000,27.000000,14.000000,37.000000,15.000000,76.000000,4.000000
