年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,1009309.000000,1006093.000000,166269.000000,112920.000000,80652.000000,122487.000000,87154.000000,118116.000000,20692.000000,18588.000000,25472.000000,62216.000000,22424.000000,34447.000000,18458.000000,38322.000000,10269.000000,15196.000000,3791.000000,16167.000000,16871.000000,15582.000000,2917.000000,299.000000
1999,957209.000000,954260.000000,158558.000000,105863.000000,77391.000000,117328.000000,82961.000000,111136.000000,19669.000000,17554.000000,24017.000000,58533.000000,21177.000000,32312.000000,17475.000000,36193.000000,9558.000000,14156.000000,3522.000000,15655.000000,16378.000000,14824.000000,2668.000000,281.000000
2000,929534.000000,926656.000000,154577.000000,101472.000000,76509.000000,114837.000000,80084.000000,107877.000000,19327.000000,17528.000000,23186.000000,56041.000000,20338.000000,30428.000000,17041.000000,35306.000000,9190.000000,13654.000000,3377.000000,15790.000000,16078.000000,14016.000000,2615.000000,263.000000
2001,935738.000000,932927.000000,156551.000000,100864.000000,78606.000000,115982.000000,80717.000000,108450.000000,19839.000000,18146.000000,23290.000000,55314.000000,20653.000000,29314.000000,16952.000000,35314.000000,9078.000000,13799.000000,3382.000000,16166.000000,16549.000000,13961.000000,2531.000000,280.000000
2002,956823.000000,954124.000000,159824.000000,102442.000000,82337.000000,119642.000000,81124.000000,111777.000000,20295.000000,19376.000000,23804.000000,55692.000000,21265.000000,28831.000000,17041.000000,35715.000000,9181.000000,14117.000000,3330.000000,16957.000000,17089.000000,14285.000000,2406.000000,293.000000
2003,957285.000000,954814.000000,159537.000000,101849.000000,84429.000000,120621.000000,80393.000000,111185.000000,20367.000000,20046.000000,23855.000000,54931.000000,21273.000000,28563.000000,17049.000000,35142.000000,9098.000000,14334.000000,3195.000000,17170.000000,17673.000000,14104.000000,2175.000000,296.000000
2004,956927.000000,954532.000000,158385.000000,100516.000000,86859.000000,121563.000000,79104.000000,111038.000000,20348.000000,20695.000000,23798.000000,54434.000000,21357.000000,28445.000000,17023.000000,35281.000000,9284.000000,14586.000000,3176.000000,17269.000000,17558.000000,13813.000000,2090.000000,305.000000
2005,951202.000000,948827.000000,156527.000000,99061.000000,87134.000000,122944.000000,78528.000000,109673.000000,20498.000000,20752.000000,23261.000000,53700.000000,21433.000000,27762.000000,17053.000000,35233.000000,9336.000000,14600.000000,3209.000000,17295.000000,17370.000000,13458.000000,2083.000000,292.000000
2006,952344.000000,949920.000000,155824.000000,98665.000000,88453.000000,122410.000000,77984.000000,109609.000000,20753.000000,21259.000000,23276.000000,53024.000000,22068.000000,28069.000000,16965.000000,35623.000000,9321.000000,14714.000000,3272.000000,17200.000000,17458.000000,13973.000000,2146.000000,278.000000
2007,953277.000000,950855.000000,154257.000000,98917.000000,89289.000000,122571.000000,77768.000000,110122.000000,20904.000000,21452.000000,23100.000000,52509.000000,22391.000000,28261.000000,17017.000000,36023.000000,9227.000000,14726.000000,3212.000000,17007.000000,17788.000000,14314.000000,2141.000000,281.000000
2008,951976.000000,949513.000000,152152.000000,98774.000000,91027.000000,122859.000000,76792.000000,109842.000000,20961.000000,21653.000000,22857.000000,52021.000000,22530.000000,28615.000000,17016.000000,36181.000000,9151.000000,14583.000000,3102.000000,16851.000000,18247.000000,14299.000000,2169.000000,294.000000
2009,948534.000000,946036.000000,149593.000000,98369.000000,91372.000000,122974.000000,76455.000000,109161.000000,20863.000000,21856.000000,22624.000000,52381.000000,22139.000000,28971.000000,17092.000000,35987.000000,9167.000000,14470.000000,3146.000000,16387.000000,18693.000000,14436.000000,2205.000000,293.000000
2010,919802.000000,917391.000000,144300.000000,95287.000000,89460.000000,119828.000000,73694.000000,105264.000000,20267.000000,21338.000000,21692.000000,51334.000000,21470.000000,28417.000000,16878.000000,34337.000000,8965.000000,13840.000000,3074.000000,15577.000000,18305.000000,14064.000000,2131.000000,280.000000
2011,873226.000000,870902.000000,136231.000000,90149.000000,85800.000000,114050.000000,69941.000000,99403.000000,19264.000000,20599.000000,20408.000000,49335.000000,20358.000000,27267.000000,16159.000000,32015.000000,8518.000000,13116.000000,2997.000000,14379.000000,17517.000000,13396.000000,2051.000000,273.000000
2012,844884.000000,842530.000000,132204.000000,86887.000000,83877.000000,109952.000000,67294.000000,96280.000000,18353.000000,20073.000000,19646.000000,47591.000000,19731.000000,26624.000000,15740.000000,30366.000000,8219.000000,12461.000000,2907.000000,13984.000000,17135.000000,13206.000000,2066.000000,288.000000
2013,831925.000000,829453.000000,130301.000000,84453.000000,83418.000000,108423.000000,66134.000000,94336.000000,17908.000000,20241.000000,19546.000000,46962.000000,19351.000000,26393.000000,15659.000000,29393.000000,7940.000000,12076.000000,2933.000000,13586.000000,17446.000000,12954.000000,2189.000000,283.000000
2014,803233.000000,800781.000000,125520.000000,80483.000000,81330.000000,104453.000000,63133.000000,90837.000000,17140.000000,20051.000000,19273.000000,45510.000000,18711.000000,25798.000000,15409.000000,28332.000000,7749.000000,11554.000000,2842.000000,12820.000000,17314.000000,12522.000000,2179.000000,273.000000
2015,747724.000000,745321.000000,116039.000000,75015.000000,76299.000000,97447.000000,58160.000000,83539.000000,16014.000000,19150.000000,18268.000000,42767.000000,17256.000000,24178.000000,14440.000000,26193.000000,7227.000000,10861.000000,2670.000000,11496.000000,16662.000000,11640.000000,2144.000000,259.000000
