年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,0.548303,0.549404,0.802232,0.342616,0.686488,0.417956,0.366998,0.488648,0.440757,0.678777,0.591308,0.401487,0.495487,0.349188,0.340684,0.758901,1.316408,1.255887,0.233567,0.946548,0.487098,0.290023,0.146341,-
2012,0.464166,0.464159,0.705045,0.272560,0.534482,0.343271,0.321885,0.410210,0.374857,0.562777,0.526504,0.371027,0.572935,0.365380,0.329886,0.622017,0.899915,0.762938,0.309491,0.700300,0.497336,0.279535,0.531144,-
2013,0.458707,0.459707,0.675475,0.303102,0.325691,0.329657,0.395801,0.532446,0.549719,0.617653,0.523480,0.313473,0.599607,0.374659,0.255216,0.472918,1.295109,0.788939,0.174581,0.739542,0.407403,0.286123,0.137049,-
2014,0.468920,0.469982,0.702383,0.278691,0.657581,0.348739,0.312244,0.365793,0.375962,0.723156,0.551136,0.379004,0.556418,0.353732,0.279112,0.483552,0.914713,0.927265,0.070497,0.788508,0.316920,0.225435,0.137615,-
2015,0.470198,0.471451,0.722380,0.271378,0.664326,0.341763,0.266116,0.384192,0.402851,0.564204,0.564910,0.282744,0.552486,0.403525,0.284071,0.582389,0.998336,1.064709,0.299625,0.852248,0.351643,0.200585,0.093240,-
2016,0.447235,0.447976,0.644954,0.266585,0.520184,0.358503,0.238822,0.421350,0.376673,0.613048,0.545379,0.298137,0.522993,0.404167,0.357523,0.525131,0.763816,1.002753,0.489596,0.934670,0.354698,0.173579,0.251130,-
2017,0.420971,0.421915,0.687244,0.247266,0.551552,0.322844,0.245074,0.318203,0.422535,0.504761,0.404526,0.297090,0.409154,0.297268,0.204851,0.504622,0.809010,1.001669,0.296988,0.812585,0.406824,0.141844,0.153925,-
2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
