年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,0.040376,0.040363,0.063399,0.023643,0.055461,0.023676,0.020032,0.046331,0.017711,0.041113,0.027716,0.025495,0.036547,0.022458,0.025924,0.034635,0.099164,0.146749,0.019350,0.085497,0.026289,0.014884,0.050327,-
2012,0.035711,0.035825,0.052112,0.022390,0.054727,0.019284,0.020352,0.034526,0.034184,0.039891,0.014595,0.020996,0.042309,0.040613,0.020909,0.041510,0.098247,0.098845,0.062112,0.054482,0.010142,0.031985,-,-
2013,0.037331,0.037298,0.053697,0.024212,0.045274,0.019292,0.020521,0.040244,0.028027,0.041220,0.021481,0.022433,0.038325,0.035401,0.038185,0.040234,0.128226,0.111988,0.022502,0.079970,0.031447,0.028634,0.053591,-
2014,0.036045,0.036166,0.045222,0.018995,0.062618,0.019281,0.017992,0.028781,0.016681,0.054476,0.022550,0.020777,0.055746,0.053091,0.020658,0.052120,0.180536,0.064114,0.023652,0.067382,0.027844,0.017732,-,-
2015,0.035943,0.035983,0.039298,0.021975,0.055736,0.023041,0.016216,0.041953,0.047870,0.055506,0.033412,0.013048,0.027638,0.041885,0.053550,0.025292,0.154041,0.079133,0.050100,0.069228,0.021061,0.037239,0.027218,-
2016,0.035241,0.035364,0.045956,0.022589,0.052566,0.015730,0.020182,0.031015,0.049230,0.050842,0.038594,0.022934,0.037255,0.052979,0.028729,0.026752,0.074648,0.113651,-,0.054129,0.047658,0.006464,-,-
2017,0.033476,0.033509,0.040776,0.028742,0.042733,0.019859,0.025376,0.026406,0.041944,0.039643,0.036299,0.017508,0.021557,0.037032,0.035782,0.033797,0.096209,0.084641,0.111794,0.081535,0.027174,0.026536,0.027617,-
2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
