年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,2.140000,2.140000,1.640000,1.760000,2.650000,1.480000,1.140000,2.860000,3.240000,3.030000,3.170000,1.500000,0.950000,2.760000,2.080000,1.880000,3.630000,1.960000,0.320000,3.340000,3.350000,1.860000,-,-
1999,2.130000,2.130000,1.780000,1.600000,2.920000,1.630000,1.340000,1.990000,3.290000,3.640000,3.180000,1.790000,1.260000,3.600000,2.650000,1.640000,3.200000,1.890000,0.310000,2.880000,2.530000,2.280000,-,-
2000,2.130000,2.130000,1.210000,2.180000,2.660000,1.830000,1.020000,2.780000,3.250000,3.050000,2.970000,1.720000,0.770000,3.320000,1.790000,1.250000,3.970000,1.560000,-,3.400000,2.360000,1.900000,-,-
2001,1.770000,1.770000,1.280000,1.430000,2.110000,1.720000,0.340000,1.240000,2.220000,2.830000,2.620000,1.660000,1.640000,2.710000,1.690000,1.490000,2.280000,1.460000,1.080000,2.650000,2.350000,1.100000,-,-
2002,1.720000,1.720000,1.090000,1.420000,1.800000,1.720000,1.140000,2.330000,2.250000,1.480000,2.250000,1.920000,1.930000,2.860000,1.250000,0.980000,1.560000,0.160000,0.400000,3.270000,3.380000,1.010000,4.210000,-
2003,1.810000,1.810000,1.370000,1.830000,1.910000,1.520000,1.230000,1.650000,2.180000,2.820000,2.380000,2.040000,2.500000,4.090000,2.020000,0.970000,2.630000,2.320000,-,3.450000,2.060000,1.230000,13.210000,-
2004,1.840000,1.840000,1.340000,1.680000,1.890000,1.690000,1.540000,2.170000,2.010000,2.410000,1.710000,1.960000,4.290000,2.910000,1.140000,1.110000,4.700000,1.640000,1.030000,2.580000,2.320000,0.630000,4.360000,-
2005,2.600000,2.600000,1.930000,1.570000,2.460000,4.490000,2.310000,2.950000,3.350000,2.110000,3.230000,4.440000,4.310000,3.220000,1.830000,2.960000,5.570000,2.110000,0.720000,2.530000,1.900000,1.220000,1.850000,3.230000
2006,2.240000,2.240000,1.990000,1.130000,2.370000,3.840000,2.810000,3.130000,2.240000,1.730000,2.340000,4.140000,3.690000,2.310000,2.210000,3.370000,2.020000,2.370000,0.890000,2.600000,1.410000,2.250000,3.280000,3.230000
2007,2.330000,2.330000,2.070000,1.190000,2.380000,4.020000,2.890000,3.170000,3.970000,1.730000,2.850000,4.070000,3.460000,2.180000,2.560000,4.930000,3.740000,2.280000,1.850000,2.470000,1.340000,2.380000,2.400000,8.970000
2008,2.210000,2.210000,2.110000,1.170000,2.230000,3.490000,2.750000,2.970000,3.670000,1.920000,2.590000,3.720000,2.690000,2.150000,2.260000,4.610000,4.570000,2.560000,0.510000,2.720000,1.470000,1.500000,3.610000,-
2009,2.020000,2.020000,1.850000,1.230000,2.020000,2.980000,2.790000,2.540000,3.030000,1.840000,2.330000,3.280000,2.550000,2.650000,2.160000,3.200000,3.260000,2.040000,1.090000,2.160000,1.320000,1.880000,4.820000,-
2010,2.060000,2.060000,1.760000,1.160000,2.170000,3.160000,2.830000,2.470000,2.420000,1.670000,2.910000,3.380000,2.870000,2.970000,2.940000,3.550000,1.960000,1.860000,1.870000,2.570000,1.460000,1.370000,1.980000,-
2011,1.920000,1.920000,1.630000,1.050000,1.970000,2.770000,2.740000,2.450000,2.520000,1.660000,2.250000,3.230000,3.240000,2.720000,3.100000,3.650000,2.230000,2.060000,1.480000,2.240000,1.410000,1.330000,2.520000,-
2012,1.800000,1.800000,1.240000,1.010000,1.920000,2.760000,2.440000,2.250000,2.570000,1.510000,2.360000,3.190000,3.120000,2.790000,2.630000,3.730000,2.180000,2.110000,2.270000,2.470000,1.250000,1.650000,1.160000,5.930000
2013,1.730000,1.720000,1.060000,1.120000,1.950000,2.670000,2.390000,1.960000,2.510000,1.450000,2.220000,2.430000,2.740000,2.330000,2.490000,3.560000,2.350000,2.900000,0.850000,2.470000,1.320000,1.650000,4.020000,-
2014,1.720000,1.720000,1.140000,1.090000,1.910000,2.510000,2.600000,1.880000,3.010000,1.430000,1.980000,2.500000,2.640000,2.220000,2.460000,3.710000,1.760000,2.470000,1.480000,2.550000,1.420000,1.880000,1.830000,-
2015,1.580000,1.580000,1.050000,1.130000,1.850000,2.240000,2.340000,1.550000,2.810000,1.330000,1.720000,2.300000,2.920000,1.570000,1.720000,2.920000,1.620000,1.640000,1.380000,2.150000,1.560000,1.240000,2.770000,-
2016,1.440000,1.440000,1.000000,1.070000,1.700000,2.180000,1.870000,1.370000,1.490000,1.180000,1.510000,2.130000,2.840000,1.500000,1.560000,2.380000,1.650000,1.360000,1.180000,2.010000,1.190000,0.870000,2.690000,-
2017,1.330000,1.330000,0.920000,1.040000,1.640000,1.750000,1.540000,1.250000,1.570000,1.400000,1.470000,1.930000,2.260000,1.450000,1.050000,2.140000,1.210000,1.640000,1.200000,2.040000,1.220000,1.330000,1.680000,2.350000
2018,1.310000,1.310000,0.900000,1.030000,1.560000,1.660000,1.760000,1.350000,1.690000,1.310000,1.550000,1.760000,2.020000,1.350000,1.230000,1.540000,1.270000,1.420000,1.000000,1.920000,1.120000,1.220000,1.190000,-
