年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,83.000000,81.000000,1.000000,27.000000,2.000000,4.000000,2.000000,2.000000,1.000000,15.000000,1.000000,1.000000,15.000000,-,-,-,2.000000,3.000000,2.000000,-,2.000000,1.000000,-,2.000000
1999,43.000000,42.000000,1.000000,11.000000,2.000000,5.000000,3.000000,5.000000,2.000000,-,1.000000,3.000000,-,-,-,-,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,-,1.000000
2000,39.000000,37.000000,4.000000,11.000000,2.000000,2.000000,2.000000,7.000000,1.000000,-,1.000000,1.000000,-,-,1.000000,-,1.000000,1.000000,1.000000,-,1.000000,1.000000,1.000000,1.000000
2001,44.000000,42.000000,5.000000,11.000000,2.000000,2.000000,3.000000,9.000000,1.000000,-,1.000000,1.000000,-,-,1.000000,1.000000,-,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2002,39.000000,37.000000,8.000000,5.000000,5.000000,2.000000,2.000000,-,1.000000,1.000000,-,-,1.000000,1.000000,1.000000,2.000000,1.000000,-,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2003,41.000000,39.000000,6.000000,8.000000,2.000000,3.000000,2.000000,6.000000,2.000000,-,1.000000,1.000000,-,1.000000,1.000000,1.000000,-,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2004,55.000000,54.000000,8.000000,11.000000,9.000000,3.000000,2.000000,6.000000,2.000000,-,1.000000,4.000000,-,1.000000,1.000000,1.000000,-,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,-
2005,60.000000,59.000000,8.000000,11.000000,10.000000,3.000000,2.000000,9.000000,2.000000,-,1.000000,5.000000,1.000000,1.000000,1.000000,1.000000,-,1.000000,1.000000,1.000000,-,1.000000,1.000000,-
2006,62.000000,60.000000,8.000000,9.000000,10.000000,4.000000,2.000000,9.000000,2.000000,-,1.000000,5.000000,1.000000,1.000000,1.000000,3.000000,-,1.000000,1.000000,1.000000,-,1.000000,1.000000,1.000000
2007,75.000000,72.000000,12.000000,10.000000,11.000000,6.000000,2.000000,10.000000,2.000000,-,1.000000,5.000000,1.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000
2008,58.000000,56.000000,9.000000,10.000000,1.000000,5.000000,2.000000,7.000000,3.000000,-,1.000000,5.000000,1.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2009,61.000000,59.000000,10.000000,10.000000,1.000000,5.000000,1.000000,9.000000,3.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000
2010,63.000000,61.000000,12.000000,9.000000,1.000000,5.000000,1.000000,10.000000,3.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000
2011,52.000000,50.000000,11.000000,8.000000,1.000000,5.000000,1.000000,3.000000,1.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000
2012,51.000000,49.000000,11.000000,8.000000,1.000000,5.000000,1.000000,3.000000,1.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2013,56.000000,54.000000,12.000000,8.000000,1.000000,5.000000,1.000000,4.000000,2.000000,1.000000,1.000000,4.000000,1.000000,1.000000,1.000000,6.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2014,72.000000,70.000000,11.000000,8.000000,16.000000,6.000000,1.000000,4.000000,2.000000,2.000000,1.000000,4.000000,1.000000,1.000000,1.000000,6.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2015,74.000000,72.000000,11.000000,8.000000,17.000000,7.000000,1.000000,4.000000,1.000000,2.000000,1.000000,3.000000,1.000000,1.000000,1.000000,8.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2016,82.000000,80.000000,13.000000,8.000000,23.000000,7.000000,1.000000,4.000000,1.000000,2.000000,1.000000,2.000000,2.000000,1.000000,1.000000,8.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2017,73.000000,71.000000,4.000000,8.000000,23.000000,8.000000,1.000000,4.000000,1.000000,-,1.000000,2.000000,3.000000,1.000000,1.000000,8.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2018,77.000000,75.000000,4.000000,8.000000,23.000000,9.000000,3.000000,4.000000,1.000000,1.000000,1.000000,2.000000,3.000000,1.000000,1.000000,8.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
