年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,1.097963,1.599673,0.632723,1.111666,0.938289,1.019136,0.911073,1.040094,1.148870,0.812925,0.666015,1.352525,1.067665,1.297368,1.220679,2.218933,2.176760,1.766635,1.867168,0.602593,0.758026,-,-
1999,-,1.085935,1.526290,0.645188,1.078502,0.913394,1.016944,0.901500,1.025505,1.122765,0.799560,0.671994,1.349449,1.050279,1.262980,1.208053,2.183899,2.189707,1.669647,2.155598,0.577029,0.770393,-,-
2000,-,1.180729,1.668256,0.592199,1.076335,0.951908,1.157617,0.990999,1.026075,1.205541,0.870395,0.727026,1.446815,1.164274,1.365980,1.360824,2.772894,2.388309,1.782105,1.759524,0.569844,0.733813,-,-
2001,-,1.138012,1.776923,0.648069,1.064546,0.895562,1.103684,0.915339,0.982376,1.171590,0.831130,0.688415,1.456590,1.099775,1.288719,1.346872,2.871021,2.357268,1.276613,1.392411,0.609918,0.754330,-,-
2002,-,1.132320,1.543156,0.669674,1.026431,0.892634,1.107683,0.889741,1.004764,1.208529,0.813871,0.690739,1.484512,1.094611,1.266938,1.353453,2.789190,2.506962,1.240641,1.303723,0.591585,0.833129,-,-
2003,-,1.117338,1.530657,0.592382,1.002119,0.862622,1.067091,0.879277,0.957468,1.180094,0.818243,0.674261,1.502642,1.100198,1.261431,1.376914,2.958902,2.619226,1.129070,1.136476,0.510368,0.658065,-,-
2004,-,1.099762,1.440423,0.570467,0.987116,0.848642,1.060697,0.847307,0.933877,1.189954,0.789764,0.673857,1.465745,1.078639,1.249929,1.367572,3.000219,2.681035,0.989558,1.008642,0.523783,0.610400,-,-
2005,-,1.085832,1.198821,0.505223,0.935685,0.817809,1.046281,0.834053,0.969718,1.126172,0.899998,0.719232,1.454690,1.094438,1.315179,1.199603,2.687024,2.483000,0.882273,0.933122,0.511533,0.440038,-,-
2006,-,1.096727,1.229610,0.493933,0.892891,0.854667,1.049729,0.854160,0.959640,1.088227,0.910377,0.728050,1.545658,1.127771,1.250043,1.243588,2.796522,2.451647,0.904611,0.990970,0.501960,0.422314,-,-
2007,-,1.069561,1.164025,0.497448,0.899956,0.804623,1.033275,0.817980,0.961513,1.125127,0.880623,0.710952,1.437863,1.084220,1.297949,1.193992,2.704551,2.414268,0.864277,0.934834,0.467548,0.414430,-,-
2008,-,1.063892,1.162299,0.491028,0.896274,0.806262,1.030776,0.811783,0.961072,1.119209,0.876504,0.709881,1.424881,1.083924,1.287850,1.168805,2.710770,2.381083,0.863780,0.935737,0.463880,0.413189,-,-
2009,-,1.055211,1.137097,0.494251,0.891932,0.791396,1.030533,0.776879,0.953133,1.107429,0.871804,0.708667,1.421049,1.078479,1.279149,1.148692,2.691983,2.475591,0.863909,0.933801,0.461669,0.409984,-,-
2010,-,1.048091,1.135369,0.480935,0.842190,0.788244,1.025080,0.769499,0.958070,1.096968,0.856232,0.705802,1.415798,1.084104,1.284192,1.141314,2.660001,2.485582,0.871086,0.932902,0.458793,0.408383,-,-
2011,-,1.040645,0.976216,0.348911,0.848004,0.779881,1.020907,0.714865,0.959650,1.129094,0.848082,0.732594,1.451146,1.086182,1.272799,1.161052,2.855291,2.460516,0.975480,0.601718,0.435005,0.384327,-,-
2012,-,1.035306,0.893656,0.351152,0.845604,0.776685,1.023115,0.695312,0.969025,1.125176,0.843259,0.731312,1.456629,1.086022,1.269598,1.161114,2.873846,2.485051,0.981540,0.627455,0.411298,0.374806,-,-
2013,-,1.031433,0.880986,0.354089,0.838647,0.773468,1.018735,0.688452,0.969317,1.118310,0.840111,0.730950,1.447684,1.085983,1.270251,1.157078,2.902577,2.464081,0.981905,0.627784,0.403379,0.351071,-,-
2014,-,1.031806,0.871981,0.354453,0.838156,0.769833,1.009829,0.687712,0.985669,1.114048,0.832803,0.735038,1.448886,1.088342,1.266884,1.159053,2.905660,2.521432,0.983084,0.629320,0.402544,0.341797,-,-
2015,1.028908,1.028908,0.813905,0.355230,0.802234,0.763045,1.011087,0.692067,0.988093,1.112873,0.860722,0.737133,1.449954,1.088145,1.266817,1.158300,2.911024,2.513671,0.981290,0.613313,0.400195,0.339592,-,-
2016,1.024179,1.024179,0.736330,0.367513,0.756512,0.730921,1.013241,0.673825,0.973747,1.114867,0.900414,0.736709,1.488923,1.105923,1.289232,1.173872,2.923701,2.701838,0.925571,0.578505,0.404578,0.339899,-,-
2017,1.022637,1.020057,0.714970,0.368686,0.698966,0.721699,1.015479,0.676162,0.980583,1.117878,0.873525,0.739913,1.491603,1.106815,1.293863,1.173025,2.932597,2.762170,0.925542,0.570870,0.405592,0.338452,-,-
2018,1.019825,1.017236,0.712010,0.368560,0.684527,0.722779,1.013442,0.676111,0.936748,1.116345,0.874648,0.738590,1.493784,1.110020,1.294853,1.169613,2.934203,2.747090,0.923673,0.570870,0.404752,0.337980,-,-
