年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,13.463415,13.838440,12.344828,21.333333,15.846154,12.068966,12.894737,13.736842,15.916667,11.923077,13.166667,15.769231,16.307692,18.350000,14.166667,12.363636,7.187500,11.384615,13.666667,17.142857,22.333333,9.500000,-,-
1999,14.214092,14.509749,12.620690,21.500000,16.307692,13.344828,14.315789,14.131579,16.500000,12.076923,14.111111,16.846154,16.538462,18.750000,15.111111,12.818182,7.437500,11.461538,13.666667,17.428571,27.333333,9.500000,6.000000,-
2000,14.897019,15.189415,12.758621,23.250000,16.846154,13.724138,15.236842,16.078947,17.083333,12.153846,14.722222,17.769231,17.538462,19.300000,15.444444,12.969697,7.687500,11.538462,13.833333,17.428571,29.000000,11.000000,7.333333,-
2001,15.132791,15.415042,12.827586,24.750000,17.153846,14.275862,15.447368,16.421053,17.333333,12.153846,14.666667,17.307692,18.230769,19.450000,15.833333,13.090909,7.687500,11.538462,13.833333,17.714286,29.333333,13.000000,8.333333,-
2002,15.542005,15.802228,10.896552,19.333333,29.000000,7.275862,5.921053,4.184211,22.166667,27.307692,25.722222,9.192308,30.153846,14.350000,22.944444,13.030303,27.312500,9.769231,25.166667,12.000000,42.000000,46.000000,12.833333,7.000000
2003,16.151762,16.378830,13.517241,28.833333,17.307692,16.689655,16.052632,18.263158,18.000000,12.538462,15.277778,18.115385,19.000000,19.750000,15.944444,13.424242,8.062500,11.846154,14.000000,19.285714,32.666667,16.000000,11.666667,2.500000
2004,16.432065,16.653631,13.241379,29.333333,17.461538,17.413793,16.675676,18.315789,18.333333,12.769231,15.111111,18.653846,19.153846,19.900000,16.888889,13.333333,8.312500,12.076923,14.166667,19.571429,33.000000,18.000000,11.666667,3.750000
2005,16.711957,16.910615,13.551724,29.916667,17.461538,17.793103,16.891892,18.684211,18.833333,13.153846,15.111111,19.038462,19.307692,20.100000,16.944444,13.484848,8.437500,12.230769,14.166667,19.714286,34.000000,19.000000,13.000000,4.500000
2006,17.051630,17.251397,13.793103,30.833333,17.153846,18.517241,17.324324,19.131579,19.000000,13.307692,15.333333,19.461538,19.461538,20.200000,17.611111,13.575758,8.500000,12.307692,14.500000,20.000000,36.000000,21.000000,13.333333,4.750000
2007,17.396739,17.592179,14.206897,31.666667,17.692308,19.551724,17.702703,19.315789,19.083333,13.307692,15.333333,19.615385,19.461538,20.400000,18.222222,13.666667,8.875000,12.461538,14.833333,20.285714,37.000000,23.000000,14.000000,5.000000
2008,17.418478,17.603352,14.275862,29.250000,18.000000,19.655172,18.054054,18.921053,19.166667,13.307692,15.333333,19.769231,19.615385,20.900000,18.277778,13.727273,8.937500,12.538462,14.833333,20.285714,37.000000,25.000000,14.666667,5.000000
2009,17.508152,17.684358,14.551724,27.750000,18.307692,19.758621,18.108108,18.973684,19.416667,13.384615,15.333333,19.961538,19.692308,20.900000,18.777778,13.757576,9.000000,12.769231,14.833333,20.285714,37.000000,27.000000,15.333333,5.000000
2010,17.711957,17.885475,14.896552,28.000000,18.384615,19.758621,18.189189,19.236842,19.666667,13.538462,15.444444,20.307692,20.384615,20.900000,19.000000,13.757576,9.125000,12.923077,15.166667,20.571429,37.000000,31.000000,15.833333,5.000000
2011,18.070652,18.251397,15.068966,30.000000,18.384615,20.586207,18.108108,20.368421,19.666667,13.615385,15.500000,20.500000,20.769231,21.000000,19.444444,13.818182,9.187500,13.307692,15.166667,20.571429,38.000000,33.500000,16.000000,5.000000
2012,18.184783,18.363128,15.206897,29.583333,18.384615,20.448276,18.162162,20.842105,19.750000,13.538462,15.500000,20.846154,20.923077,21.100000,19.611111,13.848485,9.500000,13.384615,15.166667,20.571429,38.000000,34.500000,16.333333,5.000000
2013,18.269022,18.441341,15.241379,28.916667,18.384615,20.482759,18.243243,21.236842,19.666667,14.000000,15.500000,20.846154,20.923077,21.150000,19.722222,13.909091,9.562500,13.384615,15.166667,20.571429,38.000000,37.000000,16.833333,5.000000
2014,18.372283,18.536313,15.310345,28.583333,18.615385,20.620690,18.297297,21.342105,19.916667,14.307692,15.500000,20.884615,21.153846,21.450000,19.833333,13.939394,9.562500,13.461538,15.166667,20.571429,38.333333,37.500000,17.500000,5.000000
2015,18.641304,18.807263,15.379310,30.083333,19.076923,20.965517,18.324324,22.131579,20.166667,14.307692,15.500000,21.076923,21.615385,21.450000,20.000000,14.060606,9.750000,13.538462,15.166667,20.857143,38.666667,38.500000,17.833333,5.000000
2016,18.698370,18.865922,15.448276,29.500000,19.846154,20.896552,18.324324,22.447368,20.000000,14.307692,15.500000,21.038462,21.769231,21.550000,20.000000,14.060606,9.750000,13.538462,15.333333,21.000000,39.333333,39.000000,17.833333,5.000000
2017,18.584239,18.740223,15.517241,30.166667,20.307692,21.068966,18.297297,20.394737,20.000000,14.307692,15.500000,21.346154,21.846154,21.650000,20.055556,14.090909,9.687500,13.538462,15.500000,21.000000,39.333333,39.000000,18.333333,5.000000
2018,18.540761,18.689944,15.620690,30.000000,21.384615,21.241379,18.216216,19.368421,20.000000,14.307692,15.555556,21.384615,21.846154,21.650000,20.055556,14.060606,9.812500,13.461538,15.500000,21.142857,39.666667,39.000000,18.666667,5.000000
