年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,238787.000000,237225.000000,32337.000000,35390.000000,18428.000000,20503.000000,23230.000000,35221.000000,3864.000000,6186.000000,5650.000000,11445.000000,3947.000000,6922.000000,5844.000000,7227.000000,2217.000000,3565.000000,611.000000,4201.000000,6067.000000,4370.000000,1351.000000,211.000000
1999,232610.000000,231058.000000,28248.000000,35173.000000,16479.000000,20934.000000,24506.000000,34120.000000,3911.000000,5964.000000,5405.000000,11114.000000,3811.000000,6922.000000,5761.000000,7177.000000,2509.000000,3504.000000,621.000000,4215.000000,6348.000000,4336.000000,1329.000000,223.000000
2000,243090.000000,241543.000000,31507.000000,34114.000000,21778.000000,22571.000000,25085.000000,35142.000000,3846.000000,6041.000000,5598.000000,9534.000000,3973.000000,7100.000000,5809.000000,7295.000000,2517.000000,3380.000000,561.000000,4592.000000,6783.000000,4317.000000,1334.000000,213.000000
2001,246303.000000,244713.000000,30603.000000,32756.000000,24750.000000,23374.000000,24425.000000,36750.000000,3916.000000,6580.000000,5831.000000,8765.000000,3660.000000,7959.000000,5801.000000,7140.000000,2623.000000,3640.000000,559.000000,4644.000000,6519.000000,4418.000000,1371.000000,219.000000
2002,241180.000000,239509.000000,29385.000000,30632.000000,23794.000000,23220.000000,25282.000000,34608.000000,3859.000000,6796.000000,5771.000000,9325.000000,4400.000000,7744.000000,5977.000000,7289.000000,2507.000000,3333.000000,549.000000,4254.000000,6290.000000,4494.000000,1453.000000,218.000000
2003,240926.000000,239390.000000,29710.000000,28284.000000,27344.000000,22882.000000,24257.000000,34914.000000,3616.000000,6096.000000,5794.000000,9058.000000,4369.000000,8775.000000,6084.000000,6834.000000,2510.000000,3262.000000,550.000000,4355.000000,6155.000000,4541.000000,1294.000000,242.000000
2004,237155.000000,235631.000000,27605.000000,28258.000000,26122.000000,22886.000000,25090.000000,34557.000000,3539.000000,6392.000000,5797.000000,8967.000000,4061.000000,8579.000000,6049.000000,6511.000000,2470.000000,3382.000000,526.000000,4171.000000,6212.000000,4457.000000,1277.000000,247.000000
2005,224219.000000,222778.000000,26463.000000,26717.000000,21420.000000,22671.000000,25158.000000,31375.000000,3373.000000,5872.000000,5592.000000,8500.000000,4480.000000,7950.000000,5927.000000,5835.000000,3052.000000,3726.000000,594.000000,3862.000000,6566.000000,3645.000000,1207.000000,234.000000
2006,201815.000000,200314.000000,23108.000000,24564.000000,19180.000000,20211.000000,22166.000000,28282.000000,2997.000000,5726.000000,5717.000000,7016.000000,4106.000000,7035.000000,5493.000000,5223.000000,3035.000000,3468.000000,532.000000,3284.000000,5565.000000,3606.000000,1338.000000,163.000000
2007,191773.000000,190368.000000,22538.000000,22953.000000,18222.000000,18599.000000,20811.000000,27098.000000,2843.000000,5616.000000,5770.000000,6648.000000,3601.000000,6687.000000,5152.000000,5060.000000,2631.000000,3448.000000,489.000000,3132.000000,5839.000000,3231.000000,1220.000000,185.000000
