年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,4.194965,4.206254,2.325528,2.328941,16.353004,4.097072,3.135172,2.428692,16.304989,3.530654,1.071235,0.846411,10.250956,0.666263,1.764558,1.534832,5.567276,16.231086,1.107224,2.626437,2.824687,1.140962,-,-
1999,93.291885,93.073741,78.157492,111.337257,49.427396,78.920606,79.586522,120.810397,91.550787,115.811253,57.695983,84.077869,100.742078,93.363188,94.647708,130.141710,197.694369,188.687987,99.733297,85.231827,55.694715,92.017745,159.547042,302.686341
2000,104.577381,104.424380,99.677728,110.707960,85.165815,92.419359,100.377778,122.074178,106.644879,79.223337,59.847772,96.018188,106.487345,93.581604,100.091825,150.170235,194.681544,234.874160,81.788593,85.829587,63.253272,72.276639,162.935877,150.455127
2001,104.520275,104.614732,102.867759,104.729374,93.832783,83.258088,80.962884,114.428512,199.573570,97.515499,73.370387,91.826140,137.720323,102.493056,99.496300,125.374666,159.208367,267.131128,79.223609,114.704943,81.700338,72.635236,57.766946,166.837782
2002,138.226249,138.330147,109.491598,109.180694,104.737192,89.419023,98.084064,306.083678,140.659378,102.783269,85.606819,112.844288,134.612366,114.642559,120.807384,206.549890,231.693264,216.931119,80.123867,157.716611,95.732842,91.434969,88.013737,204.382877
2003,102.018100,102.005340,106.805445,104.346295,83.160934,76.971048,90.479561,114.832731,101.359511,85.529504,78.989434,86.605673,104.651152,93.575263,116.850314,146.191884,164.336174,218.967724,85.544589,136.788432,91.900422,74.046374,73.384703,330.126928
2004,128.388796,128.451634,138.639271,130.828766,114.500161,98.265196,105.836561,141.604290,150.177566,101.885200,89.875939,106.790014,138.856703,126.584592,124.294361,199.670616,206.119429,240.184494,82.581318,164.419389,107.034255,95.196644,94.069627,209.193504
2005,124.202848,124.520250,128.546514,111.016794,130.928162,92.403010,111.131731,151.641536,122.527796,89.742762,87.097209,108.562373,148.198973,167.607418,121.075799,167.472987,162.314632,192.405165,55.345448,139.019264,119.849494,83.388372,29.691211,40.600893
2006,133.113063,133.051821,129.401586,121.517726,134.512223,101.861682,108.696672,189.710439,135.356156,118.089560,90.005625,116.387797,126.635042,141.467486,118.458029,168.653075,184.881028,207.334382,108.534031,180.479575,121.713822,83.813515,156.723791,99.349262
2007,126.593527,126.516968,127.955839,118.787170,115.752748,103.068135,190.859101,135.238644,128.580489,83.984655,74.990024,103.446125,134.902266,126.670894,98.625933,147.383191,149.483515,193.434552,147.685625,156.460059,101.034024,95.702728,155.658766,70.950740
2008,126.756179,126.724604,133.075725,120.825743,121.376989,112.906735,108.520662,155.152169,137.414523,97.087962,84.600557,114.186144,115.254301,129.437691,109.265178,162.421009,169.277071,199.785318,161.552628,149.093634,96.220068,92.526899,125.212952,213.187148
2009,129.311382,129.420387,143.420925,128.136716,120.280343,108.786724,102.550121,157.257992,131.378269,99.393091,91.788822,116.325043,122.155853,134.119708,105.613860,178.333196,186.068147,219.813393,98.143712,125.820147,101.351599,91.663715,100.912134,132.154112
2010,126.701813,126.791629,132.698153,126.325055,111.082027,101.737640,129.414275,173.112545,118.423921,97.080077,85.685376,97.490107,116.710725,118.018839,105.594685,151.809442,187.836000,224.782242,89.060105,134.376760,94.566536,92.997541,97.297128,201.379449
2011,124.573601,124.477594,134.761265,120.537256,117.996745,97.876586,102.059479,170.188897,124.409084,94.891021,72.842033,98.991505,120.080282,114.728177,115.243389,172.608424,187.814704,180.568732,172.098416,139.779416,86.665486,91.190551,117.268829,418.952618
2012,121.407625,121.458266,130.757625,114.007867,113.912173,95.713690,137.657455,149.861456,118.127054,87.362740,82.594277,98.044225,126.365888,108.525728,99.471383,149.741435,201.521532,198.503634,127.551020,131.558092,83.064832,90.281642,95.855185,270.825551
2013,113.953209,114.063479,127.814808,119.557994,115.998688,90.484566,92.433888,124.169386,117.768805,83.643202,71.002984,88.910085,111.623280,106.711174,92.007918,194.770995,172.477626,177.256470,187.710484,115.681183,85.993388,89.652679,85.534419,178.913738
2014,184.761897,185.343400,139.186470,126.483833,122.320104,98.459908,108.666455,675.173313,122.978567,84.447757,71.158291,98.087449,115.749605,115.345314,94.306327,162.804089,177.168027,177.434365,187.971784,121.391835,79.491348,94.507665,75.673413,186.453731
2015,305.030319,306.319100,140.347129,131.234251,128.911162,102.886382,1310.352603,846.829114,130.222250,104.105691,75.859118,99.048806,109.591182,111.886997,97.642975,182.811677,184.819722,192.083110,199.939234,121.581037,83.136270,93.117955,69.859743,351.255339
2016,138.476255,138.796784,155.298489,150.985628,139.601269,125.261172,122.071050,157.314598,137.824836,107.202877,93.669225,108.065389,135.809976,118.464890,100.660865,161.713013,187.702762,204.569318,158.585765,145.927533,110.167926,105.878869,82.862720,135.231883
2017,133.242645,133.727816,150.717490,147.389059,137.414721,115.369887,120.501888,146.500817,128.426016,113.308780,82.300386,102.350401,140.526767,117.379873,101.704624,151.765201,208.474322,201.772936,139.869584,156.544614,100.401949,83.816701,52.096709,109.911678
2018,127.115772,127.599654,144.843547,142.194379,130.735884,113.576120,107.470043,136.205295,124.584900,108.188128,80.350422,98.504774,129.047513,108.253808,93.100908,150.905098,212.562634,173.766176,100.713145,169.360569,99.462429,93.305082,49.145554,84.824183
