年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,95.427928,94.586975,53.878687,34.887170,49.364500,74.160496,159.650777,73.585898,147.328226,136.688630,117.887036,103.652263,164.873212,129.373360,179.590019,97.854021,252.463621,229.948878,160.960397,175.076809,139.792220,202.623075,219.349785,1908.339594
1999,102.352000,101.560781,65.225125,35.285494,71.188180,73.658255,181.844684,80.455102,152.686859,160.685345,119.684747,103.244386,163.407703,129.314792,175.416147,119.029939,274.817293,227.728952,160.650691,167.445048,143.939352,193.128110,235.835379,1707.317073
2000,108.611376,107.849679,66.033315,38.541849,70.702296,77.151398,193.612786,79.772000,152.197186,158.285063,110.237036,112.702408,166.193630,129.680051,182.107575,149.296489,266.191625,236.688064,286.046304,245.607260,167.734686,186.337970,211.769951,1797.118669
2001,118.274172,117.579603,67.114429,38.803221,76.518906,77.233496,194.022106,117.960837,151.352837,158.861752,112.549943,120.167976,165.553747,143.632945,199.160402,160.661737,268.179811,325.933981,277.452638,272.657980,203.323904,185.079461,194.880438,1378.375325
2002,125.670625,124.495169,62.255489,49.813464,70.344633,77.536531,192.479586,119.362501,189.395980,158.832197,118.409461,200.124755,191.209181,136.645678,222.975352,161.336956,270.530609,318.042675,281.245268,276.919147,210.930921,207.534704,264.707380,2202.442086
2003,131.473531,130.052411,79.313854,52.947352,76.122004,70.639028,181.743651,127.893392,197.502617,157.853368,117.845688,205.933717,205.404545,141.660849,243.214789,166.303006,303.489512,299.590484,285.085580,265.907272,205.538304,205.865116,360.756276,2180.331592
2004,134.474133,133.024946,81.820901,56.969150,77.278877,90.058909,187.682301,115.241957,190.142033,154.522457,118.970539,209.529133,214.147875,144.142286,256.675444,169.851333,319.087418,303.595313,285.378181,269.666129,202.351725,199.747726,377.001365,1966.022011
2005,134.380700,132.879243,75.976596,55.917061,80.890659,95.159417,186.481638,117.305844,193.463407,151.985547,126.798394,210.362160,212.410270,143.182469,264.583980,168.540577,300.071565,295.711464,294.089027,289.487322,191.711118,194.331269,358.647387,1904.301595
2006,135.440139,133.991510,84.441725,57.251575,82.305991,83.506323,190.708122,113.869385,180.267839,144.968546,142.146411,211.857640,224.026308,145.506459,265.238579,178.950337,340.740050,269.039076,293.076211,283.130201,208.736007,196.061153,339.909270,1910.893113
2007,137.287681,135.982774,88.493595,54.387740,79.587879,72.464491,194.859954,139.247154,192.442191,146.423810,127.284380,210.902086,225.775083,146.760520,257.914736,181.100158,329.538646,283.715213,283.580474,279.971414,206.999386,198.480271,290.629943,1880.152825
2008,138.147142,136.893181,68.314670,56.997480,78.675193,76.522291,194.767232,160.090775,203.947911,141.672611,143.112829,211.663182,227.549257,148.132999,264.792767,196.872196,316.585364,293.761880,282.933939,278.678283,197.843457,199.055491,284.971030,1814.454126
2009,141.143260,139.780718,90.457251,54.191333,77.724580,83.808813,194.197950,160.093140,201.245600,148.566597,116.779173,206.557574,236.236493,148.174794,256.154649,197.022569,331.617182,285.953942,293.108824,269.107259,194.855523,193.528834,286.771212,1925.597338
2010,145.375275,144.061013,91.728595,53.498357,79.867736,94.169389,211.656137,160.664406,193.708386,149.118447,116.940717,206.840737,232.292670,145.056176,257.341030,198.280728,349.412372,385.472469,295.094822,275.424722,194.056011,192.738353,275.255741,1920.756235
2011,138.282548,137.017461,92.609355,50.245797,79.024291,60.238839,196.807604,127.339636,194.091853,172.899751,114.054910,203.524223,228.956384,147.430615,372.716761,200.802981,347.803233,407.614343,272.754408,268.999045,181.644177,190.405339,251.244188,1870.176133
2012,142.615602,141.427420,120.579645,50.276333,81.569885,57.953892,201.632083,127.039698,197.559939,135.688836,118.267444,204.020716,230.105576,149.650277,373.227311,209.915416,316.461291,412.900146,267.090234,282.113625,180.205189,188.776639,231.630876,1688.770999
2013,149.814852,148.726547,134.313410,50.511518,84.245627,80.913186,195.623638,129.610051,192.166751,138.175183,113.517012,232.173597,222.921685,153.576192,365.626222,233.607029,303.797243,405.514275,451.195219,273.929488,176.903168,191.234236,216.215321,1570.078093
2014,151.260449,150.264941,128.591733,55.248925,85.554878,82.541772,194.238236,127.492271,200.533157,132.061083,111.790553,252.734472,220.876311,155.382530,366.246620,228.560107,297.589878,435.223401,453.035634,277.422623,174.773373,268.750715,205.131417,1455.301455
2015,157.691484,156.715750,134.285521,54.902193,90.180361,132.704427,191.403952,126.775961,201.476915,138.181174,109.591567,232.958283,230.819054,154.080782,378.578752,231.202742,293.546473,458.208438,459.415077,276.534849,171.174492,277.031875,207.079873,1450.545947
2016,162.078582,161.156924,139.826820,55.681188,96.099989,139.127845,187.589507,123.445197,207.851588,132.972651,98.535558,266.947184,227.451337,158.014486,375.882947,243.960220,298.004547,490.162007,452.243301,271.969901,215.165879,273.090405,205.752180,1405.319571
2017,173.800880,172.965239,141.922282,58.660054,102.421508,151.557011,184.519449,123.950633,215.283603,127.859405,97.326325,276.422308,524.297926,159.623856,390.076333,239.656168,305.639063,505.714728,452.566948,269.478649,329.606558,287.678453,203.701548,1374.223602
2018,182.517801,181.647485,143.153281,65.615618,112.703479,155.712020,186.694029,123.380540,224.726012,125.491463,160.513644,277.972553,520.691868,162.385463,395.607690,244.485744,302.394950,506.756757,429.911911,277.181181,547.308896,291.859937,206.070093,1493.566176
