年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,2809.000000,2347.000000,54.000000,1373.000000,14.000000,44.000000,17.000000,561.000000,7.000000,1.000000,6.000000,3.000000,31.000000,2.000000,10.000000,8.000000,-,13.000000,-,143.000000,17.000000,43.000000,462.000000,-
1999,10210.000000,8838.000000,95.000000,1351.000000,12.000000,1692.000000,16.000000,528.000000,3497.000000,7.000000,22.000000,252.000000,1148.000000,111.000000,12.000000,6.000000,3.000000,7.000000,1.000000,25.000000,7.000000,46.000000,1372.000000,-
2000,14517.000000,14516.000000,73.000000,653.000000,73.000000,91.000000,14.000000,452.000000,72.000000,-,2.000000,17.000000,12668.000000,3.000000,5.000000,-,15.000000,339.000000,-,37.000000,1.000000,1.000000,-,1.000000
2001,1713.000000,1711.000000,12.000000,88.000000,26.000000,229.000000,17.000000,375.000000,354.000000,6.000000,26.000000,9.000000,132.000000,4.000000,8.000000,4.000000,1.000000,386.000000,1.000000,21.000000,9.000000,3.000000,-,2.000000
2002,214.000000,213.000000,26.000000,6.000000,12.000000,3.000000,17.000000,8.000000,3.000000,10.000000,11.000000,7.000000,2.000000,14.000000,8.000000,6.000000,4.000000,1.000000,9.000000,1.000000,48.000000,4.000000,4.000000,-
2003,435.000000,431.000000,18.000000,12.000000,7.000000,32.000000,27.000000,18.000000,7.000000,4.000000,9.000000,2.000000,3.000000,3.000000,4.000000,198.000000,5.000000,24.000000,1.000000,56.000000,-,1.000000,-,4.000000
2004,7982.000000,7982.000000,35.000000,166.000000,895.000000,5634.000000,22.000000,13.000000,8.000000,29.000000,1042.000000,5.000000,20.000000,5.000000,10.000000,8.000000,1.000000,9.000000,3.000000,64.000000,5.000000,8.000000,-,-
2005,18823.000000,18823.000000,13.000000,7.000000,8.000000,25.000000,405.000000,22.000000,2.000000,1866.000000,6.000000,6.000000,4.000000,15524.000000,575.000000,10.000000,88.000000,242.000000,-,15.000000,1.000000,4.000000,-,-
2006,1380.000000,1380.000000,7.000000,5.000000,22.000000,20.000000,11.000000,10.000000,24.000000,201.000000,42.000000,2.000000,6.000000,7.000000,6.000000,904.000000,1.000000,102.000000,-,4.000000,3.000000,3.000000,-,-
2007,401.000000,401.000000,18.000000,4.000000,10.000000,15.000000,6.000000,11.000000,15.000000,6.000000,7.000000,23.000000,4.000000,6.000000,7.000000,5.000000,2.000000,256.000000,-,4.000000,2.000000,-,-,-
2008,1932.000000,1792.000000,2.000000,3.000000,15.000000,22.000000,10.000000,172.000000,5.000000,1.000000,19.000000,8.000000,12.000000,688.000000,4.000000,1.000000,1.000000,827.000000,-,1.000000,-,1.000000,-,140.000000
2009,27769.000000,27769.000000,10.000000,13.000000,4.000000,10.000000,1654.000000,22814.000000,9.000000,2.000000,4.000000,7.000000,53.000000,79.000000,17.000000,3011.000000,5.000000,33.000000,-,1.000000,1.000000,42.000000,-,-
2010,20655.000000,20655.000000,5.000000,6.000000,2.000000,11.000000,116.000000,17882.000000,-,1.000000,1.000000,4.000000,2.000000,6.000000,6.000000,-,98.000000,2506.000000,-,-,9.000000,-,-,-
2011,1058.000000,1058.000000,21.000000,24.000000,7.000000,42.000000,10.000000,911.000000,4.000000,1.000000,4.000000,27.000000,-,1.000000,3.000000,-,1.000000,-,-,2.000000,-,-,-,-
2012,4747.000000,4747.000000,18.000000,129.000000,418.000000,657.000000,359.000000,2197.000000,1.000000,-,1.000000,24.000000,6.000000,3.000000,5.000000,223.000000,9.000000,675.000000,1.000000,10.000000,10.000000,1.000000,-,-
2013,7281.000000,7236.000000,782.000000,26.000000,319.000000,274.000000,265.000000,2216.000000,295.000000,1415.000000,264.000000,35.000000,196.000000,240.000000,288.000000,429.000000,168.000000,-,-,20.000000,2.000000,2.000000,45.000000,-
2014,3642.000000,3642.000000,20.000000,45.000000,47.000000,142.000000,66.000000,2123.000000,4.000000,-,1.000000,11.000000,6.000000,1.000000,4.000000,98.000000,156.000000,911.000000,-,-,5.000000,2.000000,-,-
2015,1953.000000,1943.000000,27.000000,74.000000,13.000000,116.000000,115.000000,1125.000000,-,-,181.000000,38.000000,117.000000,106.000000,8.000000,-,1.000000,3.000000,-,14.000000,3.000000,2.000000,10.000000,-
2016,2643.000000,2613.000000,25.000000,16.000000,9.000000,383.000000,671.000000,1375.000000,4.000000,-,11.000000,6.000000,81.000000,3.000000,5.000000,-,5.000000,16.000000,-,-,2.000000,1.000000,30.000000,-
2017,3854.000000,3854.000000,320.000000,120.000000,6.000000,333.000000,47.000000,1055.000000,2.000000,-,3.000000,7.000000,279.000000,161.000000,1.000000,1.000000,-,1506.000000,-,10.000000,-,3.000000,-,-
2018,2294.000000,2294.000000,75.000000,36.000000,8.000000,145.000000,1052.000000,10.000000,3.000000,-,2.000000,28.000000,4.000000,34.000000,2.000000,2.000000,1.000000,847.000000,-,2.000000,1.000000,42.000000,-,-
