年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,86.527249,86.375488,58.064516,93.316779,68.192488,91.339713,89.794838,78.058783,97.854785,91.694352,90.812092,63.478763,89.429695,84.419431,99.612215,78.043978,93.545029,81.763181,94.831014,85.081585,92.041522,93.309002,100.000000,-
2004,83.794935,83.654842,47.246084,95.721038,48.205872,89.105691,91.875274,71.207529,92.753067,91.440217,90.417311,58.528428,88.766789,86.137931,96.569122,80.072108,94.672324,86.126126,97.339246,86.177106,86.074672,92.819149,100.000000,-
2005,80.666739,80.635627,31.982996,94.195812,59.884170,90.153763,92.398204,71.198755,85.110508,74.827925,87.203791,63.282648,93.450371,88.272472,88.259526,80.758557,95.763078,91.521197,100.000000,65.493646,63.729508,90.275953,85.511364,-
2006,80.008978,79.994733,14.543168,93.136106,43.494038,88.465665,92.926829,75.197341,89.489835,81.896552,84.538653,53.091081,91.322816,86.821015,78.055556,78.903456,97.366255,90.788072,97.737557,87.811271,70.024272,91.149273,82.508251,-
2007,80.865708,80.789163,18.344755,95.548252,54.534712,82.802747,93.130039,75.157042,76.678766,91.247002,71.135135,61.151079,83.909416,81.278962,81.257783,79.727773,95.248869,86.525974,96.253602,79.884226,71.205674,92.342342,91.842900,-
2008,81.287497,81.185944,13.613685,96.743431,62.923729,79.993748,93.908535,75.585284,62.784810,91.377778,81.142098,51.269841,91.410694,87.174542,51.682692,79.412603,94.215385,84.006462,97.398844,72.645740,72.141707,96.952104,95.845697,80.000000
2009,79.560681,79.404877,16.946108,93.879217,65.824468,80.736074,91.077788,75.927824,67.734682,80.840164,87.298578,44.064748,89.767157,91.095189,50.803043,82.243488,96.145455,73.959068,96.894410,74.916388,70.376176,99.845201,97.014925,82.819383
2010,76.741659,76.580230,19.812925,95.325797,55.980485,80.960210,89.944649,79.555106,59.432933,66.032211,79.187396,38.921569,86.812500,87.103594,54.921112,82.836841,96.100074,59.709091,97.151899,60.264228,71.723122,99.457505,97.506925,76.681614
2011,74.924802,74.638029,20.661824,95.776624,41.281030,71.138846,90.236946,86.244541,34.784810,70.416667,72.899160,38.449111,83.161239,78.835979,61.860795,82.838640,94.713656,73.982655,93.984962,39.715536,71.449488,100.000000,96.621622,83.173077
2012,73.812983,73.505130,37.009804,95.534063,52.272727,73.974209,65.874195,86.446469,28.991185,74.261603,75.137783,33.018182,82.429245,52.707006,68.955851,82.720296,97.134871,78.317901,100.000000,25.475687,73.837209,100.000000,96.221662,85.775862
2013,75.139822,74.809445,42.926829,94.601795,38.528139,72.077295,60.901027,84.939759,18.852868,89.186047,80.346821,83.445378,74.805771,59.833795,63.922518,88.327858,96.261161,81.557377,97.950820,26.352941,64.846416,100.000000,97.254005,90.909091
2014,77.641375,77.279099,39.381443,85.933430,74.758270,66.986667,70.659722,86.569495,40.411462,92.639594,85.788787,89.558956,74.324324,49.529190,65.180467,84.528215,94.246404,85.385226,98.983051,25.887743,57.850071,97.523585,99.166667,88.000000
2015,77.732738,77.312446,38.525730,84.511785,79.449838,63.257576,69.370735,88.499137,41.924095,96.593674,84.638737,95.363636,79.724771,53.518124,59.153318,84.356725,85.974755,84.779051,99.056604,25.759577,66.582278,98.795181,98.922414,91.071429
2016,75.515070,74.922363,34.689266,76.918453,81.592689,63.879817,68.047843,89.061509,60.092654,88.852989,86.347391,93.820225,77.715205,49.464286,54.535752,83.972125,89.429658,80.607903,100.000000,36.164736,42.184154,98.589563,98.049645,96.428571
2017,75.476655,74.687213,27.104723,75.769231,79.209271,61.579258,64.067055,87.419769,64.567527,55.263158,94.961832,95.080214,79.166667,44.696970,67.604167,80.816327,88.477952,81.473534,83.333333,73.205128,45.800000,99.210267,98.833819,100.000000
2018,77.847780,77.116164,75.637547,74.000791,78.656463,66.031746,63.750787,91.638907,66.610025,51.202749,96.101830,92.375691,76.985743,46.774194,75.644223,90.573770,84.800000,70.642202,60.144928,85.945946,86.666667,99.535424,98.108108,97.787611
