年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,163618666.000000,1988916.000000,293084.000000,4584798.000000,14011190.000000,17789116.000000,9505589.000000,4313351.000000,4047965.000000,6431380.000000,17843739.000000,16530857.000000,22199547.000000,14943355.000000,16068531.000000,6747480.000000,5367136.000000,77291.000000,45108.000000,342369.000000,487864.000000,-,-
1999,-,170523785.246750,1937053.371796,278360.431670,4516246.268432,14320412.659572,19356434.676305,9905437.595724,3679111.467130,3858981.182127,6483346.815452,20601629.425554,16966203.602132,24069962.771551,15722018.887848,15116056.275406,6898438.519454,5779515.554207,69488.972500,43469.700000,422783.194422,498833.875467,-,-
2000,-,165214487.138388,1893303.513707,367166.500000,3836934.007832,14319826.762760,18565353.504765,9467086.331016,3743899.338803,3463845.904199,6346518.499926,19745900.947081,16821772.070814,23349153.615350,15358275.538050,16587844.303542,5742403.779525,4752594.558380,67679.601150,46253.403200,340822.739614,397852.218674,-,-
2001,-,160758569.891640,1878468.432460,371858.000000,4057633.113340,13838277.721720,18385888.394960,9017926.415100,3507624.474700,3474010.894000,5912912.104800,19037715.013820,17657549.308040,20609714.994880,14695758.550280,16472063.977440,5861536.502940,5165022.243000,52053.230000,45320.526000,320487.572160,396748.422000,-,-
2002,-,151853269.357064,1659799.927350,367201.835853,3033042.833396,13401909.274196,17082044.227317,8286945.337631,3365773.579953,2604004.846713,5259248.852359,17792445.432549,15267207.529211,22116102.883942,13989155.680316,16061267.794597,5824177.267085,4985554.371565,68222.471900,40579.498528,236130.106814,412455.605791,-,-
2003,-,147274669.788051,1580584.482511,376121.511277,2384750.152290,13576078.453628,16546475.889284,7997753.742490,3244250.395344,2180513.365245,5147645.654899,16568138.801997,16068928.826626,21988001.781089,13414119.953717,15553335.731833,5026407.282351,4852025.912729,74092.644640,42396.479397,179086.650666,473962.076036,-,-
2004,-,162300580.000000,1765320.000000,391627.000000,2803786.000000,15433524.000000,18240484.000000,9096484.000000,3941512.000000,2479674.000000,5359394.000000,18567476.000000,17538232.000000,24021765.000000,13229327.000000,16693671.000000,6908642.000000,4995397.000000,89356.000000,44871.000000,192898.000000,507140.000000,-,-
2005,-,162630935.000000,1972154.000000,422220.000000,3521595.000000,15021772.000000,17356617.000000,9306199.000000,4301929.000000,2664796.000000,5114277.000000,17727666.000000,17373223.000000,23073786.000000,13785859.000000,18455131.000000,6884894.000000,4784092.000000,104265.000000,55337.000000,225125.000000,480000.000000,-,-
2006,-,172691533.000000,1955207.000000,420231.000000,3384582.000000,15908962.000000,19867028.000000,10431352.000000,4480831.000000,2638179.000000,5421731.000000,19332958.000000,17797512.000000,25126402.000000,14240183.000000,18841193.000000,7060758.000000,4860532.000000,90189.000000,53543.000000,225317.000000,554845.000000,-,-
2007,-,168368459.000000,2067780.000000,465585.000000,3348343.000000,16919330.000000,19918503.000000,10429121.000000,4438448.000000,2939490.000000,5513759.000000,17859630.000000,18207367.000000,22197516.000000,13257451.000000,18882588.000000,6908815.000000,4069828.000000,91246.000000,64992.000000,255307.000000,533358.000000,-,-
