年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,34916.000000,2388.000000,1253.000000,1851.000000,3738.000000,3807.000000,3704.000000,1117.000000,1054.000000,1291.000000,2027.000000,2013.000000,2168.000000,2077.000000,2535.000000,1218.000000,1381.000000,249.000000,215.000000,368.000000,462.000000,-,-
1999,-,35593.000000,2366.000000,1258.000000,1947.000000,3776.000000,3914.000000,3781.000000,1130.000000,1054.000000,1303.000000,2042.000000,2066.000000,2171.000000,2180.000000,2634.000000,1281.000000,1388.000000,250.000000,216.000000,373.000000,463.000000,-,-
2000,-,35771.000000,2315.000000,1251.000000,1964.000000,3839.000000,3995.000000,3902.000000,1146.000000,1065.000000,1319.000000,2092.000000,2070.000000,2139.000000,2014.000000,2643.000000,1283.000000,1408.000000,252.000000,229.000000,375.000000,470.000000,-,-
2001,-,36466.000000,2355.000000,1262.000000,2020.000000,3904.000000,4120.000000,3993.000000,1178.000000,1081.000000,1340.000000,2066.000000,2094.000000,2178.000000,2037.000000,2712.000000,1285.000000,1407.000000,254.000000,314.000000,382.000000,484.000000,-,-
2002,-,37037.000000,2388.000000,1263.000000,2128.000000,3981.000000,4192.000000,3980.000000,1325.000000,1074.000000,1377.000000,2078.000000,2128.000000,2205.000000,2059.000000,2714.000000,1289.000000,1397.000000,255.000000,316.000000,389.000000,499.000000,-,-
2003,-,37310.000000,2436.000000,1267.000000,2131.000000,4043.000000,4192.000000,3990.000000,1326.000000,1081.000000,1383.000000,2086.000000,2162.000000,2236.000000,2059.000000,2745.000000,1289.000000,1415.000000,255.000000,316.000000,391.000000,507.000000,-,-
2004,-,37028.000000,2542.000000,1268.000000,2171.000000,4053.000000,4245.000000,3506.000000,1327.000000,1082.000000,1414.000000,2134.000000,2128.000000,2231.000000,2074.000000,2759.000000,1279.000000,1336.000000,255.000000,317.000000,395.000000,512.000000,-,-
2005,-,37336.000000,2604.000000,1270.000000,2176.000000,4008.000000,4253.000000,3553.000000,1333.000000,1081.000000,1427.000000,2181.000000,2131.000000,2263.000000,2080.000000,2765.000000,1305.000000,1419.000000,257.000000,318.000000,399.000000,513.000000,-,-
2006,-,38297.000000,2625.000000,1273.000000,2204.000000,4151.000000,4306.000000,3634.000000,1364.000000,1125.000000,1446.000000,2188.000000,2090.000000,2362.000000,2111.000000,2769.000000,1306.000000,1453.000000,259.000000,637.000000,472.000000,522.000000,-,-
2007,-,38526.000000,2677.000000,1274.000000,2247.000000,4175.000000,4430.000000,3654.000000,1345.000000,1128.000000,1454.000000,2201.000000,1943.000000,2412.000000,2111.000000,2777.000000,1314.000000,1480.000000,260.000000,644.000000,475.000000,525.000000,-,-
2008,-,39315.000000,2690.000000,1274.000000,2703.000000,4280.000000,4464.000000,3681.000000,1351.000000,1128.000000,1470.000000,2223.000000,2088.000000,2409.000000,2112.000000,2786.000000,1312.000000,1481.000000,260.000000,654.000000,418.000000,531.000000,-,-
2009,-,39849.000000,2780.000000,1348.000000,2721.000000,4167.000000,4480.000000,3857.000000,1315.000000,1115.000000,1618.000000,2257.000000,2137.000000,2458.000000,2138.000000,2846.000000,1311.000000,1527.000000,258.000000,613.000000,421.000000,482.000000,-,-
2010,-,40353.000000,2876.000000,1349.000000,2745.000000,4192.000000,4512.000000,3881.000000,1315.000000,1256.000000,1658.000000,2272.000000,2154.000000,2472.000000,2137.000000,2849.000000,1311.000000,1589.000000,260.000000,618.000000,423.000000,484.000000,-,-
2011,-,41298.000000,2888.000000,1652.000000,2750.000000,4213.000000,4758.000000,3936.000000,1314.000000,1275.000000,1670.000000,2292.000000,2172.000000,2453.000000,2278.000000,2852.000000,1311.000000,1589.000000,268.000000,617.000000,527.000000,483.000000,-,-
