年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,31277728.000000,31161545.000000,4495200.000000,5895538.000000,2392173.000000,3285570.000000,2445722.000000,3622760.000000,602767.000000,545990.000000,725438.000000,1617159.000000,663091.000000,828850.000000,586775.000000,1089628.000000,305851.000000,463709.000000,132775.000000,578991.000000,485142.000000,398416.000000,83691.000000,32492.000000
2007,31668487.000000,31551242.000000,4573006.000000,5884022.000000,2439815.000000,3315340.000000,2495371.000000,3690647.000000,615555.000000,551771.000000,729889.000000,1620176.000000,675497.000000,851538.000000,596537.000000,1110097.000000,307612.000000,469621.000000,136176.000000,578129.000000,500035.000000,410408.000000,84830.000000,32415.000000
2008,32293711.000000,32175618.000000,4675211.000000,5914497.000000,2505788.000000,3392750.000000,2555414.000000,3770823.000000,626567.000000,566774.000000,743748.000000,1663434.000000,688719.000000,873821.000000,614652.000000,1133707.000000,314978.000000,475175.000000,137914.000000,589279.000000,513747.000000,418620.000000,85637.000000,32456.000000
2009,32432245.000000,32328772.000000,4660443.000000,6160767.000000,2513808.000000,3369435.000000,2630665.000000,3785692.000000,625452.000000,570318.000000,740963.000000,1630890.000000,693184.000000,867485.000000,608239.000000,1115902.000000,285840.000000,450130.000000,130485.000000,557901.000000,513895.000000,417278.000000,80613.000000,22860.000000
2010,32384294.000000,32276666.000000,4631749.000000,5734845.000000,2556516.000000,3413569.000000,2596902.000000,3797958.000000,631506.000000,593262.000000,765692.000000,1726068.000000,698740.000000,895411.000000,637124.000000,1154460.000000,316126.000000,471419.000000,132738.000000,585955.000000,519933.000000,416693.000000,84162.000000,23466.000000
2011,32701882.000000,32590898.000000,5041145.000000,4329220.000000,2739515.000000,3646114.000000,2828873.000000,4070236.000000,668543.000000,619914.000000,796903.000000,1768122.000000,743434.000000,937713.000000,657271.000000,1208598.000000,308084.000000,483455.000000,139271.000000,596256.000000,560274.000000,447957.000000,87019.000000,23965.000000
2012,33328431.000000,33216052.000000,5159768.000000,4397913.000000,2811616.000000,3725231.000000,2876571.000000,4138405.000000,677655.000000,636236.000000,808647.000000,1801925.000000,753768.000000,954464.000000,669317.000000,1223669.000000,311133.000000,489622.000000,141861.000000,608910.000000,573581.000000,455760.000000,88407.000000,23972.000000
2013,33994009.000000,33879981.000000,5288122.000000,4482393.000000,2886113.000000,3799371.000000,2926750.000000,4212157.000000,688684.000000,653789.000000,821264.000000,1834582.000000,763874.000000,972418.000000,682245.000000,1238852.000000,314372.000000,494997.000000,145963.000000,624046.000000,586612.000000,463377.000000,89922.000000,24106.000000
2014,34650369.000000,34534748.000000,5401320.000000,4557069.000000,2956138.000000,3878838.000000,2979852.000000,4287515.000000,699068.000000,668753.000000,836392.000000,1873042.000000,776872.000000,992979.000000,695824.000000,1254974.000000,318028.000000,500895.000000,148633.000000,637143.000000,599235.000000,472178.000000,91393.000000,24228.000000
2015,35265314.000000,35148093.000000,5509283.000000,4627714.000000,3022341.000000,3953923.000000,3028509.000000,4356945.000000,708294.000000,683157.000000,850754.000000,1908486.000000,788756.000000,1012585.000000,709066.000000,1270594.000000,321014.000000,506542.000000,151628.000000,647060.000000,610949.000000,480493.000000,92838.000000,24383.000000
2016,35634116.000000,35515736.000000,5575864.000000,4656367.000000,3066706.000000,4004478.000000,3059440.000000,4399850.000000,712105.000000,693159.000000,858245.000000,1929820.000000,796073.000000,1024881.000000,717107.000000,1279390.000000,323051.000000,510036.000000,153163.000000,650902.000000,619207.000000,485892.000000,93999.000000,24381.000000
2017,35914161.000000,35794882.000000,5627240.000000,4676069.000000,3105072.000000,4043882.000000,3081525.000000,4429673.000000,714529.000000,702330.000000,862431.000000,1943398.000000,801769.000000,1035935.000000,722894.000000,1286314.000000,324544.000000,512893.000000,154219.000000,653849.000000,626284.000000,490032.000000,94849.000000,24430.000000
2018,36124064.000000,36003684.000000,5663613.000000,4684826.000000,3140915.000000,4078179.000000,3096084.000000,4450390.000000,715860.000000,710150.000000,866096.000000,1954047.000000,804443.000000,1043137.000000,727061.000000,1290739.000000,327278.000000,514786.000000,154900.000000,654890.000000,633041.000000,493249.000000,95884.000000,24496.000000
