年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,83826.000000,81534.000000,11900.000000,6942.000000,5031.000000,10215.000000,8860.000000,12670.000000,1645.000000,1112.000000,1334.000000,2622.000000,2849.000000,1668.000000,2616.000000,3466.000000,1523.000000,2230.000000,298.000000,1726.000000,1354.000000,1472.000000,2036.000000,256.000000
1999,84344.000000,82052.000000,11837.000000,6942.000000,5242.000000,10316.000000,9003.000000,12580.000000,1652.000000,1242.000000,1347.000000,2624.000000,2850.000000,1677.000000,2647.000000,3483.000000,1523.000000,2230.000000,306.000000,1726.000000,1354.000000,1472.000000,2036.000000,256.000000
2000,81948.000000,79632.000000,10938.000000,7476.000000,5015.000000,9030.000000,9280.000000,12670.000000,1505.000000,1254.000000,1341.000000,2623.000000,1922.000000,1676.000000,2672.000000,3486.000000,1581.000000,2239.000000,303.000000,1775.000000,1375.000000,1472.000000,2059.000000,256.000000
2001,84127.000000,81592.000000,10990.000000,7474.000000,5086.000000,9464.000000,9883.000000,12754.000000,1518.000000,1254.000000,1384.000000,2626.000000,1922.000000,1687.000000,2675.000000,3487.000000,1631.000000,2805.000000,316.000000,1790.000000,1375.000000,1472.000000,2059.000000,476.000000
2002,85021.000000,82485.000000,11114.000000,7394.000000,5162.000000,9672.000000,10225.000000,12882.000000,1486.000000,1254.000000,1386.000000,2665.000000,1924.000000,1687.000000,2716.000000,3487.000000,1637.000000,2805.000000,316.000000,1820.000000,1381.000000,1472.000000,2060.000000,476.000000
2003,86210.000000,83651.000000,10842.000000,7375.000000,5186.000000,10987.000000,10381.000000,12943.000000,1506.000000,1265.000000,1378.000000,2675.000000,1674.000000,1704.000000,2727.000000,3558.000000,1655.000000,2805.000000,328.000000,1808.000000,1381.000000,1472.000000,2059.000000,500.000000
2004,86459.000000,83899.000000,10971.000000,7365.000000,5203.000000,10734.000000,10371.000000,12840.000000,1537.000000,1265.000000,1382.000000,2728.000000,1695.000000,1941.000000,2747.000000,3537.000000,1678.000000,2798.000000,328.000000,1818.000000,1482.000000,1478.000000,2060.000000,500.000000
2005,86916.000000,84228.000000,10971.000000,7341.000000,5205.000000,10729.000000,10352.000000,12907.000000,1546.000000,1261.000000,1382.000000,2747.000000,1822.000000,1962.000000,2752.000000,3564.000000,1769.000000,2801.000000,328.000000,1864.000000,1442.000000,1484.000000,2179.000000,509.000000
2006,88131.000000,85183.000000,10971.000000,7342.000000,5205.000000,11384.000000,10471.000000,12944.000000,1580.000000,1290.000000,1377.000000,2747.000000,1849.000000,1931.000000,2752.000000,3574.000000,1770.000000,2801.000000,330.000000,1968.000000,1414.000000,1484.000000,2439.000000,509.000000
2007,88017.000000,85071.000000,10971.000000,7341.000000,5208.000000,11386.000000,9942.000000,13305.000000,1575.000000,1348.000000,1420.000000,2736.000000,1849.000000,1951.000000,2765.000000,3567.000000,1770.000000,2801.000000,330.000000,1910.000000,1411.000000,1484.000000,2437.000000,509.000000
2008,89017.000000,86072.000000,10971.000000,7287.000000,5218.000000,11393.000000,9950.000000,13331.000000,1570.000000,1371.000000,1413.000000,2981.000000,2586.000000,1975.000000,2765.000000,3552.000000,1767.000000,2801.000000,332.000000,1917.000000,1408.000000,1484.000000,2437.000000,509.000000
2009,89345.000000,86701.000000,11054.000000,7310.000000,5243.000000,11416.000000,9916.000000,13803.000000,1582.000000,1371.000000,1491.000000,2968.000000,2585.000000,1988.000000,2770.000000,3559.000000,1767.000000,2809.000000,332.000000,1916.000000,1337.000000,1484.000000,2135.000000,509.000000
2010,91166.000000,88523.000000,11178.000000,7317.000000,5241.000000,11443.000000,10465.000000,14754.000000,1588.000000,1425.000000,1577.000000,2987.000000,2575.000000,1987.000000,2776.000000,3558.000000,1767.000000,2809.000000,332.000000,1924.000000,1336.000000,1484.000000,2134.000000,509.000000
2011,91143.000000,88501.000000,11122.000000,7350.000000,5244.000000,11443.000000,10358.000000,14806.000000,1576.000000,1441.000000,1586.000000,2999.000000,2575.000000,1992.000000,2777.000000,3570.000000,1767.000000,2812.000000,342.000000,1928.000000,1329.000000,1484.000000,2134.000000,509.000000
2012,91655.000000,89013.000000,11371.000000,7351.000000,5247.000000,11443.000000,10307.000000,15007.000000,1553.000000,1441.000000,1642.000000,3030.000000,2570.000000,1993.000000,2760.000000,3569.000000,1767.000000,2812.000000,348.000000,1936.000000,1382.000000,1484.000000,2134.000000,509.000000
2013,91848.000000,89565.000000,11371.000000,7349.000000,5265.000000,12025.000000,10325.000000,14988.000000,1564.000000,1434.000000,1632.000000,3041.000000,2589.000000,1963.000000,2760.000000,3569.000000,1779.000000,2812.000000,348.000000,1885.000000,1382.000000,1484.000000,1746.000000,537.000000
2014,91817.000000,89534.000000,11385.000000,7342.000000,5246.000000,11871.000000,10399.000000,14927.000000,1568.000000,1440.000000,1634.000000,3044.000000,2593.000000,1963.000000,2944.000000,3569.000000,1625.000000,2806.000000,343.000000,1929.000000,1422.000000,1484.000000,1746.000000,537.000000
2015,92185.000000,89832.000000,11400.000000,7343.000000,5250.000000,11856.000000,10415.000000,14967.000000,1568.000000,1436.000000,1647.000000,3038.000000,2603.000000,1965.000000,2938.000000,3569.000000,1737.000000,2806.000000,347.000000,1933.000000,1388.000000,1627.000000,1803.000000,551.000000
2016,93091.000000,90737.000000,11421.000000,7340.000000,5446.000000,12417.000000,10437.000000,14980.000000,1563.000000,1436.000000,1620.000000,3036.000000,2596.000000,1977.000000,2939.000000,3571.000000,1792.000000,2824.000000,360.000000,1930.000000,1431.000000,1622.000000,1803.000000,551.000000
2017,93511.000000,91157.000000,11424.000000,7337.000000,5487.000000,12420.000000,10446.000000,15384.000000,1566.000000,1433.000000,1600.000000,3039.000000,2567.000000,1970.000000,2948.000000,3571.000000,1792.000000,2824.000000,367.000000,1930.000000,1431.000000,1622.000000,1803.000000,551.000000
2018,92999.000000,90642.000000,11171.000000,7220.000000,5493.000000,12467.000000,10422.000000,15389.000000,1602.000000,1437.000000,1605.000000,3032.000000,2568.000000,1975.000000,2882.000000,3561.000000,1743.000000,2837.000000,360.000000,1931.000000,1320.000000,1628.000000,1807.000000,551.000000
