年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,818866.000000,816480.000000,97119.000000,117928.000000,84506.000000,110724.000000,65963.000000,95631.000000,14986.000000,15354.000000,19570.000000,45033.000000,16479.000000,22108.000000,10808.000000,23126.000000,6752.000000,12470.000000,2864.000000,13668.000000,21084.000000,20307.000000,2051.000000,335.000000
2015,792290.000000,789893.000000,95947.000000,112341.000000,82475.000000,107057.000000,63333.000000,92090.000000,14316.000000,14774.000000,18676.000000,43378.000000,15981.000000,21671.000000,10624.000000,22522.000000,6603.000000,11800.000000,2729.000000,13073.000000,20593.000000,19910.000000,2062.000000,335.000000
2016,776113.000000,773677.000000,94332.000000,108182.000000,81636.000000,105226.000000,61815.000000,89805.000000,13901.000000,14678.000000,18386.000000,42546.000000,15643.000000,21444.000000,10462.000000,22018.000000,6388.000000,11284.000000,2733.000000,12768.000000,20732.000000,19698.000000,2112.000000,324.000000
2017,745464.000000,743049.000000,90161.000000,103697.000000,79009.000000,100813.000000,58857.000000,86413.000000,13311.000000,14328.000000,17758.000000,40910.000000,15243.000000,20310.000000,10276.000000,20949.000000,6186.000000,10673.000000,2622.000000,11746.000000,20454.000000,19333.000000,2111.000000,304.000000
2018,696875.000000,694515.000000,83949.000000,96950.000000,74623.000000,94630.000000,53736.000000,80793.000000,12704.000000,13298.000000,16770.000000,38440.000000,14039.000000,18758.000000,9458.000000,19314.000000,5993.000000,10043.000000,2483.000000,10343.000000,19927.000000,18264.000000,2075.000000,285.000000
