年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,55699.000000,55511.000000,7336.000000,8376.000000,4288.000000,6902.000000,4667.000000,6279.000000,1074.000000,910.000000,1530.000000,2971.000000,1285.000000,1697.000000,765.000000,1748.000000,569.000000,997.000000,218.000000,1156.000000,1473.000000,1270.000000,155.000000,33.000000
2015,55340.000000,55144.000000,7440.000000,8222.000000,4310.000000,6861.000000,4538.000000,6198.000000,1087.000000,938.000000,1501.000000,2960.000000,1295.000000,1691.000000,754.000000,1736.000000,592.000000,962.000000,218.000000,1122.000000,1466.000000,1253.000000,162.000000,34.000000
2016,54575.000000,54380.000000,7341.000000,8030.000000,4297.000000,6831.000000,4450.000000,6087.000000,1084.000000,920.000000,1489.000000,2941.000000,1273.000000,1656.000000,733.000000,1707.000000,604.000000,943.000000,216.000000,1107.000000,1434.000000,1237.000000,162.000000,33.000000
2017,53962.000000,53769.000000,7316.000000,7827.000000,4396.000000,6840.000000,4393.000000,5975.000000,1088.000000,930.000000,1439.000000,2851.000000,1267.000000,1618.000000,720.000000,1671.000000,600.000000,924.000000,217.000000,1062.000000,1420.000000,1215.000000,159.000000,34.000000
2018,52927.000000,52734.000000,7148.000000,7646.000000,4304.000000,6719.000000,4293.000000,5864.000000,1075.000000,918.000000,1390.000000,2820.000000,1243.000000,1543.000000,719.000000,1665.000000,601.000000,901.000000,217.000000,1060.000000,1396.000000,1212.000000,160.000000,33.000000
