年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,503.000000,500.000000,60.000000,69.000000,33.000000,48.000000,48.000000,52.000000,11.000000,9.000000,19.000000,24.000000,15.000000,21.000000,10.000000,19.000000,9.000000,13.000000,2.000000,12.000000,12.000000,14.000000,2.000000,1.000000
2015,506.000000,503.000000,61.000000,69.000000,33.000000,48.000000,47.000000,53.000000,12.000000,10.000000,19.000000,24.000000,15.000000,21.000000,10.000000,19.000000,10.000000,13.000000,2.000000,12.000000,12.000000,13.000000,2.000000,1.000000
2016,506.000000,503.000000,61.000000,69.000000,33.000000,48.000000,47.000000,53.000000,12.000000,10.000000,19.000000,24.000000,15.000000,21.000000,10.000000,19.000000,10.000000,13.000000,2.000000,12.000000,12.000000,13.000000,2.000000,1.000000
2017,511.000000,508.000000,62.000000,69.000000,34.000000,50.000000,47.000000,54.000000,12.000000,10.000000,19.000000,24.000000,15.000000,21.000000,10.000000,19.000000,10.000000,13.000000,2.000000,12.000000,12.000000,13.000000,2.000000,1.000000
2018,513.000000,510.000000,63.000000,69.000000,34.000000,51.000000,47.000000,54.000000,12.000000,10.000000,19.000000,24.000000,15.000000,21.000000,10.000000,19.000000,10.000000,13.000000,2.000000,12.000000,12.000000,13.000000,2.000000,1.000000
