年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,21785.000000,21702.000000,2530.000000,3124.000000,2033.000000,2711.000000,1843.000000,2557.000000,428.000000,393.000000,586.000000,1189.000000,500.000000,611.000000,302.000000,679.000000,232.000000,392.000000,95.000000,411.000000,538.000000,548.000000,71.000000,12.000000
2015,21450.000000,21367.000000,2545.000000,3042.000000,2019.000000,2679.000000,1779.000000,2483.000000,419.000000,389.000000,584.000000,1171.000000,492.000000,608.000000,295.000000,674.000000,231.000000,389.000000,94.000000,403.000000,533.000000,538.000000,71.000000,12.000000
2016,21272.000000,21190.000000,2521.000000,2972.000000,2029.000000,2676.000000,1762.000000,2448.000000,414.000000,392.000000,586.000000,1163.000000,487.000000,608.000000,294.000000,666.000000,229.000000,380.000000,94.000000,396.000000,537.000000,536.000000,70.000000,12.000000
2017,20832.000000,20749.000000,2459.000000,2873.000000,2016.000000,2619.000000,1705.000000,2422.000000,409.000000,388.000000,565.000000,1132.000000,485.000000,594.000000,290.000000,653.000000,228.000000,371.000000,93.000000,382.000000,533.000000,532.000000,70.000000,13.000000
2018,20183.000000,20102.000000,2366.000000,2761.000000,1989.000000,2529.000000,1641.000000,2372.000000,399.000000,373.000000,534.000000,1102.000000,469.000000,568.000000,280.000000,632.000000,224.000000,358.000000,92.000000,368.000000,521.000000,524.000000,69.000000,12.000000
