年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,116614.000000,116277.000000,13900.000000,15099.000000,8623.000000,10620.000000,10218.000000,12787.000000,2814.000000,2537.000000,3618.000000,7333.000000,3506.000000,5251.000000,4094.000000,5247.000000,1771.000000,2523.000000,783.000000,2081.000000,2008.000000,1464.000000,303.000000,34.000000
1999,121099.000000,120695.000000,14340.000000,15581.000000,9257.000000,11112.000000,11014.000000,13679.000000,2825.000000,2711.000000,3801.000000,7256.000000,3562.000000,5183.000000,4249.000000,5732.000000,1758.000000,2417.000000,744.000000,2176.000000,1940.000000,1358.000000,357.000000,47.000000
2000,122901.000000,122511.000000,14286.000000,15603.000000,9343.000000,11174.000000,11113.000000,13673.000000,2957.000000,2656.000000,3974.000000,7525.000000,3687.000000,5367.000000,4490.000000,6048.000000,1835.000000,2394.000000,829.000000,2128.000000,2026.000000,1403.000000,350.000000,40.000000
2001,125910.000000,125467.000000,14646.000000,15682.000000,9388.000000,11392.000000,11798.000000,14254.000000,3095.000000,2827.000000,3812.000000,7916.000000,3706.000000,5685.000000,4707.000000,6101.000000,1685.000000,2431.000000,798.000000,2143.000000,1905.000000,1496.000000,397.000000,46.000000
2002,123987.000000,123489.000000,14062.000000,15148.000000,8354.000000,11007.000000,11789.000000,14029.000000,3086.000000,2690.000000,3991.000000,8327.000000,3929.000000,5884.000000,4838.000000,6117.000000,1665.000000,2211.000000,862.000000,2123.000000,1832.000000,1545.000000,451.000000,47.000000
2003,119174.000000,118629.000000,13821.000000,14991.000000,7661.000000,10882.000000,10962.000000,13095.000000,2975.000000,2714.000000,3924.000000,8318.000000,3723.000000,5751.000000,4406.000000,5574.000000,1500.000000,2128.000000,868.000000,2064.000000,1800.000000,1472.000000,497.000000,48.000000
2004,117291.000000,116712.000000,13310.000000,14205.000000,6946.000000,10562.000000,11063.000000,12915.000000,3075.000000,2648.000000,3756.000000,8324.000000,3704.000000,5900.000000,4839.000000,5877.000000,1487.000000,2110.000000,776.000000,2060.000000,1618.000000,1537.000000,525.000000,54.000000
2005,120437.000000,119815.000000,13489.000000,14372.000000,6883.000000,10865.000000,11960.000000,13495.000000,3131.000000,2805.000000,4052.000000,8538.000000,3741.000000,5912.000000,4919.000000,5809.000000,1610.000000,2075.000000,778.000000,2094.000000,1774.000000,1513.000000,576.000000,46.000000
2006,123133.000000,122543.000000,14153.000000,15119.000000,7013.000000,10956.000000,11927.000000,14117.000000,3150.000000,2962.000000,3911.000000,8509.000000,3882.000000,6021.000000,4685.000000,6114.000000,1602.000000,2155.000000,802.000000,2097.000000,1752.000000,1616.000000,543.000000,47.000000
2007,122783.000000,122169.000000,14482.000000,15061.000000,7226.000000,11176.000000,11467.000000,13853.000000,3272.000000,2993.000000,3669.000000,8736.000000,3756.000000,5885.000000,4714.000000,6077.000000,1525.000000,2043.000000,779.000000,2150.000000,1772.000000,1533.000000,563.000000,51.000000
2008,129175.000000,128472.000000,15600.000000,15873.000000,7740.000000,11981.000000,11549.000000,14763.000000,3393.000000,3185.000000,4301.000000,8759.000000,4021.000000,6176.000000,4626.000000,6150.000000,1623.000000,2225.000000,705.000000,2244.000000,1946.000000,1612.000000,636.000000,67.000000
2009,129976.000000,129259.000000,15997.000000,16047.000000,8086.000000,11902.000000,11479.000000,15421.000000,3373.000000,3156.000000,3973.000000,8532.000000,3856.000000,6142.000000,4854.000000,6240.000000,1588.000000,2153.000000,638.000000,2271.000000,1890.000000,1661.000000,671.000000,46.000000
2010,138294.000000,137643.000000,17892.000000,17367.000000,8504.000000,13184.000000,11744.000000,16227.000000,3473.000000,3244.000000,4259.000000,9252.000000,4207.000000,6381.000000,4821.000000,6311.000000,1625.000000,2222.000000,708.000000,2514.000000,2053.000000,1655.000000,607.000000,44.000000
2011,144217.000000,143545.000000,19510.000000,18266.000000,8990.000000,13485.000000,12332.000000,17040.000000,3752.000000,3370.000000,4314.000000,9188.000000,4139.000000,6488.000000,4898.000000,6487.000000,1651.000000,2384.000000,686.000000,2636.000000,2175.000000,1754.000000,633.000000,39.000000
2012,144003.000000,143324.000000,20125.000000,18177.000000,9285.000000,13543.000000,12369.000000,17658.000000,3427.000000,3364.000000,4155.000000,8926.000000,4096.000000,6150.000000,4691.000000,6548.000000,1625.000000,2222.000000,656.000000,2459.000000,2135.000000,1713.000000,637.000000,42.000000
2013,142191.000000,141445.000000,20613.000000,18418.000000,9400.000000,13792.000000,11382.000000,17254.000000,3485.000000,3114.000000,3970.000000,8617.000000,3909.000000,5782.000000,4369.000000,6290.000000,1613.000000,2465.000000,624.000000,2429.000000,2242.000000,1677.000000,694.000000,52.000000
2014,143945.000000,143207.000000,21805.000000,18745.000000,9764.000000,13718.000000,12164.000000,17848.000000,3304.000000,3099.000000,3838.000000,8426.000000,3541.000000,5846.000000,4182.000000,6031.000000,1664.000000,2309.000000,610.000000,2366.000000,2255.000000,1692.000000,693.000000,45.000000
2015,140802.000000,140010.000000,21846.000000,18444.000000,9763.000000,13710.000000,11539.000000,17982.000000,2998.000000,2896.000000,3624.000000,7963.000000,3463.000000,5244.000000,4054.000000,5932.000000,1491.000000,2269.000000,650.000000,2291.000000,2199.000000,1652.000000,745.000000,47.000000
2016,120056.000000,119343.000000,18839.000000,16127.000000,8678.000000,12317.000000,9379.000000,15243.000000,2525.000000,2327.000000,3162.000000,6640.000000,3058.000000,4373.000000,3221.000000,4787.000000,1279.000000,1911.000000,567.000000,1706.000000,1812.000000,1392.000000,662.000000,51.000000
2017,132907.000000,132176.000000,21543.000000,18545.000000,9961.000000,13590.000000,10169.000000,16383.000000,2596.000000,2552.000000,3193.000000,7191.000000,3235.000000,5158.000000,3229.000000,5063.000000,1361.000000,2108.000000,736.000000,1870.000000,2144.000000,1549.000000,655.000000,76.000000
2018,163682.000000,162838.000000,27474.000000,23253.000000,12005.000000,16345.000000,12915.000000,20512.000000,2919.000000,2899.000000,3865.000000,8935.000000,3624.000000,5426.000000,4032.000000,6392.000000,1803.000000,2488.000000,652.000000,2764.000000,2611.000000,1924.000000,756.000000,88.000000
