年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,78.243782,78.303822,81.818701,85.764224,81.704504,79.749971,73.141453,80.148953,72.176017,74.722955,72.619546,77.226463,77.356669,69.557235,71.517561,71.223571,57.170770,65.564642,57.918216,74.341305,79.622551,74.890017,70.085470,64.464692
1999,79.210662,79.278966,82.983908,87.189514,81.824264,81.930313,74.752205,80.131240,72.699985,79.603495,73.847926,77.025964,78.304150,68.858822,73.501997,68.808790,58.802003,70.041285,59.185919,75.279776,81.238574,78.046568,70.853242,51.079137
2000,83.032080,83.111388,93.729526,87.237111,83.958549,84.051600,76.579575,87.840138,76.898128,81.355659,76.123904,80.055188,79.172970,73.839572,75.003274,72.743787,68.053148,72.613828,64.213564,74.153846,84.584450,80.642310,72.781855,65.560166
2001,82.190889,82.229315,85.325265,85.152632,85.403984,84.432604,78.853893,88.102716,76.611182,82.092089,76.720409,80.139286,79.311573,75.377834,76.081457,75.148738,67.287588,73.978114,65.088968,78.012215,78.569957,79.756300,80.592105,64.285714
2002,81.978144,82.053836,85.519852,86.182522,85.853636,84.835392,79.314968,81.774037,77.935698,83.702719,79.388265,80.826355,79.497664,75.269145,76.117575,75.094310,69.445492,74.252137,64.978754,80.800554,84.420218,80.442903,74.578470,52.142857
2003,83.826983,83.896062,87.233344,87.710755,87.695120,86.294174,81.302622,82.828662,81.091160,85.187345,82.021210,82.809927,81.405817,77.903568,78.962149,77.981506,71.685947,77.934563,67.555082,82.318441,86.091174,81.815769,78.269356,51.798561
2004,84.757025,84.824845,88.078893,88.589457,88.374366,87.375341,82.487142,83.773849,82.295263,85.507868,82.733633,83.751846,81.883721,79.307164,80.232558,78.471449,73.937571,78.976205,69.342291,83.013040,87.042362,83.086681,79.100529,58.350515
2005,85.807114,85.872541,88.761498,89.459521,89.279584,88.439565,83.614745,84.689513,83.412988,87.210473,83.821850,85.070423,82.898172,80.873399,81.292009,80.083429,75.826251,79.886864,70.448833,84.511726,87.814313,84.137563,81.334232,60.296846
2006,86.641914,86.700044,89.658717,90.019006,89.877452,88.940509,84.584910,85.391502,84.288958,87.759246,84.753306,86.004642,83.769322,82.270705,82.344740,81.074169,77.301315,80.938788,72.448980,85.613040,88.718636,85.153538,82.749504,64.088398
2007,87.335680,87.389941,90.476802,90.463643,90.951193,89.162759,85.567929,86.045750,85.426201,88.213417,85.403411,86.678867,84.196055,83.447838,83.089931,81.719368,78.255859,81.703822,74.809437,86.181172,89.189189,85.965379,83.782009,66.176471
2008,88.012514,88.056237,91.155139,90.989720,91.498457,89.589789,86.339115,86.668684,86.415041,88.708760,86.136104,87.229097,84.806959,84.654493,84.140467,82.467954,79.097342,82.474884,77.529326,86.896179,89.681793,86.593229,85.028791,71.936057
2009,88.771567,88.811495,91.839605,91.440744,92.102851,90.185587,86.985752,87.386064,87.324742,89.490669,87.176888,87.815126,85.450429,85.980925,85.552514,83.256714,80.148458,84.300177,78.308824,89.092214,90.685346,87.336011,86.257125,73.392857
2010,89.829393,89.869164,92.683339,92.218656,92.783416,91.259970,88.357328,88.203733,88.610835,90.584958,88.785165,89.014865,86.390959,87.493561,87.077882,84.617886,81.966281,86.119620,80.819912,90.052641,91.292029,88.556005,87.365761,74.280576
2011,90.849257,90.888085,93.694434,92.790874,93.575768,92.206928,89.659509,89.526217,89.724455,91.308005,90.159608,90.040222,87.387057,88.818653,88.582231,85.753019,84.046987,87.364798,82.057057,90.841813,91.957712,89.379085,88.571429,75.837743
2012,91.765801,91.803226,94.329539,93.482722,94.322941,93.006657,90.810883,90.477299,90.653266,92.200479,91.346395,90.995925,88.658522,89.819669,89.694124,87.095175,85.809397,88.580348,82.787510,91.486538,93.019360,90.916508,89.859694,76.334520
2013,92.610160,92.646848,95.076666,94.086572,94.944918,93.670508,91.819572,91.484626,91.349481,93.030303,92.155162,91.760730,89.733085,90.815895,90.652648,88.133333,87.405303,89.634551,84.030710,91.914319,93.955346,91.772666,90.829694,77.101968
2014,93.476816,93.510502,95.639193,94.714389,95.608701,94.401815,92.773411,92.380507,92.526953,93.929800,93.209647,92.789666,90.756196,92.060920,91.445161,89.768192,88.780952,90.661677,86.183953,92.938894,94.769725,92.638701,91.938462,79.255319
2015,94.149646,94.184237,96.051961,95.093955,96.097025,95.029373,93.541398,93.360853,93.400481,94.837819,93.765871,93.625654,91.599021,92.988368,92.212689,90.668173,89.862745,91.777235,86.951269,93.731284,95.329471,93.445332,92.435424,80.353982
2016,94.662591,94.691019,96.278385,95.530926,96.455828,95.535386,94.062414,94.038230,94.018382,95.306263,94.104076,94.200980,92.399423,93.593992,92.679721,91.544802,90.324484,92.497377,87.919192,94.474803,95.894641,93.852573,93.765281,81.569343
2017,95.047258,95.070007,96.416334,95.762788,96.562152,96.169189,94.502127,94.442813,94.523021,95.718023,94.394676,94.559723,93.003682,94.219909,93.229643,92.379100,90.801421,93.098080,88.813694,94.617103,96.137576,94.037336,94.714715,83.600713
2018,95.368771,95.389340,96.533873,96.040709,96.817095,96.346803,94.910139,94.815168,94.917541,96.360153,94.877705,94.761683,93.274816,94.575005,93.909293,93.076586,91.285742,93.326506,89.872439,94.981715,96.300974,94.671793,95.002872,85.340314
