年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,744588.000000,734002.000000,128261.000000,56532.000000,40411.000000,87816.000000,54591.000000,102996.000000,21426.000000,12639.000000,31782.000000,30833.000000,25751.000000,20489.000000,15519.000000,28955.000000,16706.000000,16883.000000,5252.000000,10941.000000,15083.000000,11136.000000,10586.000000,-
2007,744018.000000,733518.000000,128675.000000,55006.000000,41084.000000,88462.000000,54521.000000,103045.000000,21308.000000,12950.000000,30954.000000,30888.000000,25830.000000,20704.000000,15354.000000,28771.000000,16664.000000,16752.000000,5376.000000,10961.000000,15271.000000,10942.000000,10500.000000,-
2008,743165.000000,732763.000000,129420.000000,53933.000000,41615.000000,89328.000000,54166.000000,103276.000000,21129.000000,13135.000000,30167.000000,30815.000000,25827.000000,20287.000000,15459.000000,28711.000000,16171.000000,16675.000000,5426.000000,10920.000000,15416.000000,10887.000000,10402.000000,-
2009,753448.000000,741963.000000,131063.000000,55225.000000,42756.000000,91573.000000,54630.000000,104016.000000,21373.000000,12868.000000,30428.000000,30938.000000,25994.000000,20210.000000,15544.000000,28896.000000,16392.000000,16734.000000,5510.000000,10957.000000,15847.000000,11009.000000,10381.000000,1104.000000
2010,759082.000000,747975.000000,132452.000000,54120.000000,42843.000000,93306.000000,55185.000000,105435.000000,21787.000000,13241.000000,30710.000000,31691.000000,26386.000000,20282.000000,15833.000000,27076.000000,16649.000000,16906.000000,5582.000000,10950.000000,16409.000000,11132.000000,10324.000000,783.000000
2011,770194.000000,757505.000000,132945.000000,53781.000000,43677.000000,95643.000000,56107.000000,106738.000000,21863.000000,13762.000000,30927.000000,32351.000000,26726.000000,20646.000000,16029.000000,27453.000000,16929.000000,17240.000000,5641.000000,10948.000000,16824.000000,11275.000000,11907.000000,782.000000
2012,781943.000000,765464.000000,133470.000000,53763.000000,44765.000000,97313.000000,56910.000000,107752.000000,22147.000000,14150.000000,31025.000000,32939.000000,27025.000000,20933.000000,16278.000000,27537.000000,17172.000000,17354.000000,5648.000000,11005.000000,16976.000000,11302.000000,15702.000000,777.000000
2013,800948.000000,782416.000000,135662.000000,55382.000000,46629.000000,100016.000000,58416.000000,109588.000000,22701.000000,14718.000000,31377.000000,33687.000000,27303.000000,21342.000000,16587.000000,27905.000000,17401.000000,17691.000000,5716.000000,11208.000000,17627.000000,11460.000000,17723.000000,809.000000
2014,809637.000000,790711.000000,136169.000000,55587.000000,47758.000000,101770.000000,59425.000000,110289.000000,22978.000000,15158.000000,31612.000000,34122.000000,27520.000000,21582.000000,16771.000000,27930.000000,17509.000000,17888.000000,5787.000000,11317.000000,17976.000000,11563.000000,18098.000000,828.000000
2015,821047.000000,802104.000000,136745.000000,56134.000000,49234.000000,103899.000000,60486.000000,111181.000000,23300.000000,15646.000000,31868.000000,34755.000000,27769.000000,21856.000000,17010.000000,28324.000000,17739.000000,18236.000000,5886.000000,11521.000000,18360.000000,12155.000000,18103.000000,840.000000
2016,835937.000000,816943.000000,137648.000000,56430.000000,50661.000000,105863.000000,61623.000000,116478.000000,23647.000000,16019.000000,32041.000000,35337.000000,28000.000000,22065.000000,17301.000000,28737.000000,17816.000000,18525.000000,5955.000000,11724.000000,18698.000000,12375.000000,18136.000000,858.000000
2017,849846.000000,830830.000000,139209.000000,57036.000000,52654.000000,108065.000000,62874.000000,118319.000000,24043.000000,16455.000000,32250.000000,35962.000000,28260.000000,22322.000000,17684.000000,29315.000000,17893.000000,18734.000000,6117.000000,11833.000000,19195.000000,12610.000000,18145.000000,871.000000
2018,869179.000000,850045.000000,140598.000000,58004.000000,54499.000000,111511.000000,67043.000000,120241.000000,24427.000000,16890.000000,32892.000000,36832.000000,28487.000000,22834.000000,18020.000000,30079.000000,18172.000000,18958.000000,6228.000000,11967.000000,19572.000000,12791.000000,18228.000000,906.000000
