年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,59869.000000,59640.000000,9411.000000,6801.000000,4629.000000,6676.000000,4798.000000,6799.000000,1345.000000,1312.000000,1618.000000,3432.000000,1770.000000,1924.000000,1598.000000,2484.000000,897.000000,1147.000000,339.000000,1001.000000,974.000000,685.000000,180.000000,49.000000
1999,61265.000000,61035.000000,9412.000000,6748.000000,4963.000000,6960.000000,4926.000000,7022.000000,1367.000000,1373.000000,1691.000000,3510.000000,1747.000000,1949.000000,1639.000000,2571.000000,878.000000,1166.000000,345.000000,1028.000000,1019.000000,721.000000,179.000000,51.000000
2000,62443.000000,62213.000000,9700.000000,6739.000000,5140.000000,7185.000000,4956.000000,7193.000000,1400.000000,1419.000000,1683.000000,3533.000000,1771.000000,1977.000000,1642.000000,2604.000000,901.000000,1172.000000,352.000000,1057.000000,1052.000000,737.000000,178.000000,52.000000
2001,63172.000000,62942.000000,9803.000000,6681.000000,5292.000000,7378.000000,4945.000000,7169.000000,1413.000000,1468.000000,1754.000000,3583.000000,1815.000000,2012.000000,1663.000000,2645.000000,882.000000,1154.000000,356.000000,1088.000000,1093.000000,748.000000,178.000000,52.000000
2002,63679.000000,63447.000000,9877.000000,6628.000000,5414.000000,7552.000000,4921.000000,7050.000000,1432.000000,1522.000000,1760.000000,3637.000000,1805.000000,2055.000000,1679.000000,2707.000000,888.000000,1195.000000,362.000000,1098.000000,1103.000000,762.000000,180.000000,52.000000
2003,64006.000000,63772.000000,9778.000000,6564.000000,5556.000000,7667.000000,4949.000000,7033.000000,1443.000000,1543.000000,1789.000000,3669.000000,1816.000000,2109.000000,1686.000000,2725.000000,888.000000,1202.000000,358.000000,1086.000000,1130.000000,781.000000,183.000000,51.000000
2004,63447.000000,63209.000000,9581.000000,6515.000000,5591.000000,7611.000000,4918.000000,6986.000000,1438.000000,1526.000000,1792.000000,3643.000000,1784.000000,2103.000000,1670.000000,2672.000000,886.000000,1183.000000,358.000000,1052.000000,1125.000000,775.000000,187.000000,51.000000
2005,62634.000000,62401.000000,9380.000000,6446.000000,5605.000000,7464.000000,4862.000000,6898.000000,1398.000000,1630.000000,1728.000000,3562.000000,1769.000000,2079.000000,1633.000000,2625.000000,880.000000,1179.000000,359.000000,1028.000000,1111.000000,765.000000,182.000000,51.000000
2006,62011.000000,61776.000000,9440.000000,6343.000000,5610.000000,7399.000000,4729.000000,6864.000000,1366.000000,1518.000000,1712.000000,3523.000000,1742.000000,2056.000000,1584.000000,2600.000000,875.000000,1159.000000,357.000000,1006.000000,1125.000000,768.000000,183.000000,52.000000
2007,61655.000000,61417.000000,9342.000000,6234.000000,5626.000000,7324.000000,4711.000000,6815.000000,1356.000000,1542.000000,1697.000000,3510.000000,1744.000000,2086.000000,1587.000000,2561.000000,898.000000,1134.000000,354.000000,986.000000,1144.000000,766.000000,185.000000,53.000000
2008,60630.000000,60393.000000,9201.000000,6101.000000,5582.000000,7229.000000,4577.000000,6663.000000,1320.000000,1541.000000,1685.000000,3462.000000,1725.000000,2049.000000,1575.000000,2497.000000,865.000000,1105.000000,351.000000,958.000000,1153.000000,754.000000,185.000000,52.000000
2009,59478.000000,59242.000000,9005.000000,5930.000000,5512.000000,7128.000000,4442.000000,6508.000000,1302.000000,1530.000000,1665.000000,3408.000000,1704.000000,2026.000000,1564.000000,2443.000000,859.000000,1086.000000,352.000000,930.000000,1129.000000,737.000000,184.000000,52.000000
2010,58652.000000,58415.000000,8861.000000,5756.000000,5468.000000,7013.000000,4380.000000,6400.000000,1287.000000,1545.000000,1659.000000,3374.000000,1682.000000,2007.000000,1542.000000,2384.000000,853.000000,1073.000000,349.000000,911.000000,1147.000000,724.000000,186.000000,51.000000
2011,57986.000000,57745.000000,8793.000000,5584.000000,5450.000000,6955.000000,4337.000000,6300.000000,1280.000000,1557.000000,1667.000000,3330.000000,1657.000000,1982.000000,1517.000000,2337.000000,838.000000,1065.000000,348.000000,881.000000,1159.000000,708.000000,189.000000,52.000000
2012,56391.000000,56147.000000,8448.000000,5257.000000,5355.000000,6794.000000,4267.000000,6116.000000,1259.000000,1546.000000,1648.000000,3257.000000,1607.000000,1947.000000,1481.000000,2257.000000,832.000000,1052.000000,338.000000,842.000000,1158.000000,686.000000,192.000000,52.000000
2013,54641.000000,54397.000000,8178.000000,4957.000000,5225.000000,6584.000000,4155.000000,5897.000000,1217.000000,1552.000000,1584.000000,3159.000000,1565.000000,1903.000000,1442.000000,2190.000000,812.000000,1025.000000,329.000000,813.000000,1148.000000,662.000000,192.000000,52.000000
2014,53541.000000,53295.000000,8002.000000,4756.000000,5177.000000,6496.000000,4088.000000,5756.000000,1196.000000,1552.000000,1542.000000,3083.000000,1522.000000,1871.000000,1395.000000,2120.000000,797.000000,1011.000000,323.000000,788.000000,1167.000000,653.000000,195.000000,51.000000
2015,52404.000000,52157.000000,7858.000000,4622.000000,5133.000000,6395.000000,3997.000000,5601.000000,1169.000000,1566.000000,1507.000000,2987.000000,1466.000000,1817.000000,1327.000000,2043.000000,782.000000,992.000000,315.000000,768.000000,1168.000000,644.000000,196.000000,51.000000
2016,51097.000000,50852.000000,7679.000000,4537.000000,5029.000000,6247.000000,3904.000000,5442.000000,1126.000000,1557.000000,1458.000000,2891.000000,1411.000000,1761.000000,1286.000000,1965.000000,762.000000,973.000000,294.000000,747.000000,1161.000000,622.000000,195.000000,50.000000
2017,50311.000000,50064.000000,7606.000000,4480.000000,4975.000000,6167.000000,3872.000000,5332.000000,1084.000000,1553.000000,1430.000000,2805.000000,1390.000000,1716.000000,1244.000000,1912.000000,759.000000,964.000000,291.000000,715.000000,1162.000000,607.000000,196.000000,51.000000
2018,50767.000000,50524.000000,7726.000000,4571.000000,5038.000000,6274.000000,3922.000000,5341.000000,1078.000000,1598.000000,1448.000000,2795.000000,1389.000000,1698.000000,1229.000000,1896.000000,755.000000,961.000000,293.000000,709.000000,1197.000000,606.000000,199.000000,44.000000
