年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,6.600000,6.700000,6.600000,5.600000,6.100000,7.500000,7.700000,6.400000,6.900000,6.100000,5.800000,5.900000,7.600000,5.800000,5.700000,5.900000,13.000000,12.100000,4.900000,7.200000,7.300000,4.500000,5.000000,-
1999,6.100000,6.100000,5.300000,5.300000,5.700000,6.200000,5.900000,5.700000,7.600000,7.600000,7.900000,6.300000,6.500000,6.300000,7.300000,6.400000,6.000000,7.900000,3.700000,7.300000,5.700000,7.400000,6.200000,-
2000,5.800000,5.800000,5.500000,4.500000,5.100000,6.500000,6.000000,6.000000,8.700000,6.100000,6.300000,5.500000,6.800000,6.900000,4.700000,5.900000,7.900000,9.500000,5.600000,5.200000,5.300000,5.500000,3.800000,-
2001,6.000000,6.100000,5.600000,5.600000,5.000000,5.300000,6.300000,6.500000,6.100000,8.600000,5.300000,5.700000,8.800000,4.700000,8.400000,6.300000,5.500000,10.400000,11.900000,7.100000,5.300000,7.400000,5.500000,-
2002,5.400000,5.400000,4.500000,4.400000,6.400000,6.300000,5.200000,5.900000,5.700000,4.100000,4.700000,5.100000,5.400000,4.700000,6.500000,5.500000,8.200000,8.500000,3.700000,5.800000,4.900000,2.300000,4.000000,-
2003,4.900000,4.900000,4.400000,3.800000,4.400000,5.800000,3.500000,5.400000,4.900000,4.300000,4.300000,4.400000,5.500000,5.200000,5.700000,5.800000,9.000000,7.600000,5.800000,3.300000,5.700000,7.700000,4.100000,20.000000
2004,5.300000,5.300000,4.600000,4.500000,4.900000,5.800000,3.500000,6.400000,7.200000,6.200000,6.200000,5.000000,6.300000,4.900000,5.300000,6.600000,6.800000,6.400000,8.500000,5.000000,5.400000,3.000000,6.800000,11.900000
2005,5.000000,5.000000,4.900000,4.300000,4.600000,4.300000,5.500000,4.800000,8.500000,4.700000,4.800000,4.800000,7.700000,5.300000,4.400000,6.400000,4.200000,7.700000,2.300000,5.300000,5.000000,4.500000,1.300000,-
2006,4.600000,4.600000,4.700000,3.200000,4.100000,4.700000,4.700000,4.300000,6.500000,5.400000,3.400000,3.500000,6.300000,4.900000,6.700000,4.800000,5.900000,8.100000,2.300000,5.900000,4.700000,5.000000,9.800000,-
2007,4.700000,4.700000,4.800000,4.100000,4.900000,4.200000,3.900000,5.000000,6.600000,5.200000,4.600000,5.300000,3.900000,4.500000,3.700000,4.300000,9.200000,10.900000,-,4.400000,3.800000,4.600000,5.400000,-
2008,4.600000,4.600000,4.200000,4.700000,3.800000,4.300000,5.100000,4.000000,6.000000,5.000000,4.700000,4.100000,3.600000,6.200000,3.300000,4.800000,9.300000,12.300000,1.400000,6.200000,4.600000,4.300000,1.000000,10.000000
2009,4.000000,4.100000,3.700000,3.500000,3.000000,4.500000,4.100000,4.600000,4.600000,4.100000,4.700000,4.100000,4.100000,3.600000,3.100000,5.800000,8.300000,7.600000,1.300000,3.500000,3.200000,3.500000,1.900000,-
2010,4.200000,4.200000,3.600000,3.800000,4.300000,4.000000,4.500000,4.400000,5.800000,7.600000,6.400000,2.900000,3.800000,3.500000,2.600000,6.700000,8.200000,6.400000,3.000000,6.100000,2.500000,3.400000,1.900000,-
2011,4.200000,4.197288,3.500000,3.800000,3.900000,4.500000,4.500000,3.800000,3.900000,3.800000,7.200000,3.600000,6.000000,5.300000,4.400000,8.100000,4.000000,5.000000,4.900000,7.600000,3.100000,1.600000,4.300000,-
2012,3.700000,3.700000,3.100000,3.500000,3.900000,4.100000,1.000000,3.500000,2.800000,4.900000,3.800000,3.100000,2.600000,3.500000,2.300000,5.500000,5.300000,5.300000,3.000000,4.100000,3.700000,6.500000,2.000000,-
2013,3.900000,3.800000,3.800000,3.800000,3.800000,3.300000,3.200000,4.700000,4.400000,4.900000,4.100000,2.300000,6.600000,3.400000,3.900000,6.000000,9.200000,6.500000,1.200000,4.200000,3.800000,4.200000,2.300000,-
2014,3.600000,3.628600,3.800000,3.800000,3.900000,3.300000,2.500000,4.200000,2.000000,4.000000,4.100000,2.900000,3.900000,3.700000,3.300000,4.300000,4.000000,6.800000,5.400000,3.300000,2.200000,2.800000,0.700000,5.500000
2015,4.134345,4.145964,4.102223,4.746232,3.153733,3.819564,3.363584,5.372525,4.979496,2.726281,3.157895,2.490190,4.776623,4.808656,5.247622,6.387376,4.342432,6.627393,4.429679,4.081633,5.255711,3.641329,2.136752,6.329114
2016,3.906551,3.930379,4.158369,3.815008,3.620748,3.118544,3.554340,5.486146,2.552467,4.491556,3.192848,2.765446,3.042877,2.938707,3.424658,5.853659,4.572175,8.604564,3.960396,2.786624,5.287508,3.623188,0.739645,-
2017,4.000000,3.970431,4.300000,3.600000,3.800000,3.100000,3.400000,5.600000,4.500000,3.000000,4.700000,3.100000,3.900000,4.000000,1.100000,5.800000,6.700000,7.400000,2.900000,4.000000,3.900000,2.600000,3.800000,-
2018,4.200000,4.200000,4.313794,4.456603,3.057426,2.930989,3.910387,5.538646,7.499185,3.832281,3.301321,2.354661,3.419335,3.426334,6.242684,7.547984,6.012024,9.970918,5.714286,5.471956,3.279516,5.872931,2.407705,-
