年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,8241603115.000000,8236070833.000000,1508483225.000000,205295090.000000,1690417176.000000,796595254.000000,633791059.000000,1328587777.000000,75338264.000000,472634615.000000,210978216.000000,392067323.000000,100907976.000000,115895185.000000,136399167.000000,93089888.000000,5538332.000000,34590005.000000,457638.000000,45867497.000000,365452106.000000,23685040.000000,5532282.000000,-
1999,8959799194.000000,8954403669.000000,1651970604.000000,247403886.000000,1833028524.000000,802855085.000000,684870089.000000,1371027429.000000,81624093.000000,575455082.000000,213038144.000000,414480684.000000,110737222.000000,146520528.000000,145103175.000000,92563240.000000,5928443.000000,36245249.000000,481591.000000,46882510.000000,474213913.000000,19974178.000000,5395525.000000,-
2000,10209148291.000000,10202534651.000000,1881614001.000000,243333247.000000,2223106207.000000,811826428.000000,739517920.000000,1519236925.000000,81604571.000000,765544666.000000,229530528.000000,431216811.000000,119222454.000000,170344967.000000,148783025.000000,99167937.000000,6006376.000000,33269766.000000,492672.000000,40196428.000000,641168161.000000,17351561.000000,6536013.000000,77627.000000
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,9954261944.000000,9947195776.000000,1646619885.000000,281713639.000000,2363211458.000000,781430926.000000,750293952.000000,1400484853.000000,77625002.000000,678981119.000000,229706418.000000,418552761.000000,82996153.000000,360315830.000000,157293415.000000,102478208.000000,5303191.000000,31906169.000000,520199.000000,32436079.000000,517931681.000000,27394838.000000,6831208.000000,234960.000000
2003,10990893425.000000,10981156235.000000,1781424587.000000,334119494.000000,2395371837.000000,867719014.000000,913478687.000000,1682971607.000000,82893799.000000,621281438.000000,254590713.000000,448731830.000000,107490650.000000,433350942.000000,152012787.000000,100130835.000000,5419463.000000,31199856.000000,423666.000000,39523393.000000,713278597.000000,15743040.000000,9133874.000000,603316.000000
2004,12556823348.000000,12546252059.000000,1760170980.000000,307024249.000000,2627201041.000000,1031560722.000000,1137220951.000000,2014644087.000000,99815952.000000,699981253.000000,336101402.000000,524096071.000000,110887323.000000,609930417.000000,197690939.000000,119329790.000000,6242230.000000,36527444.000000,494880.000000,43955604.000000,864953962.000000,18422762.000000,10327538.000000,243751.000000
2005,12736096178.000000,12725913542.000000,1731510154.000000,206790684.000000,2584281435.000000,1117911664.000000,1210855379.000000,2115932582.000000,110512651.000000,779707424.000000,328752059.000000,522615936.000000,102164351.000000,713999199.000000,218986002.000000,123462288.000000,6151514.000000,32892024.000000,432973.000000,41976232.000000,759412689.000000,17566302.000000,10182636.000000,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,15045471201.000000,15032659815.000000,1821785157.000000,188966313.000000,2793668328.000000,1330976020.000000,1647221899.000000,2634306181.000000,133862095.000000,884772993.000000,397642020.000000,652601350.000000,139280566.000000,1046384363.000000,270494969.000000,136402758.000000,6750164.000000,35967483.000000,477375.000000,41864085.000000,849895131.000000,19340565.000000,12250658.000000,560728.000000
2008,14770150708.000000,14756044879.000000,1636407816.000000,149429810.000000,2656657071.000000,1331008614.000000,1644301509.000000,2656261930.000000,144471240.000000,826666175.000000,426975040.000000,677902261.000000,111043149.000000,1218809025.000000,269839881.000000,135453587.000000,6982556.000000,39388431.000000,530070.000000,44836875.000000,760123190.000000,18956649.000000,13611630.000000,494199.000000
2009,12939186782.000000,12925980527.000000,1504908622.000000,205047008.000000,2322470312.000000,1174990464.000000,1570980474.000000,2117333975.000000,119023846.000000,736522015.000000,449207333.000000,562236999.000000,97890821.000000,972721570.000000,228819150.000000,127596886.000000,7963773.000000,36800214.000000,608434.000000,42179880.000000,632436930.000000,16241821.000000,12732466.000000,473789.000000
