年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,17.050000,17.060000,17.710000,16.010000,20.470000,18.630000,16.890000,17.350000,15.290000,19.920000,15.210000,16.610000,13.690000,16.290000,17.510000,15.660000,12.050000,13.100000,13.140000,15.060000,16.160000,17.420000,12.930000,10.150000
2015,16.600000,16.620000,17.090000,15.590000,19.980000,18.250000,16.600000,16.870000,14.640000,18.920000,14.850000,16.080000,13.160000,15.850000,17.060000,15.250000,11.560000,12.840000,12.520000,14.770000,15.920000,17.360000,12.400000,9.850000
2016,16.420000,16.430000,16.820000,15.360000,19.910000,17.950000,16.420000,16.660000,14.330000,18.790000,14.630000,15.790000,13.180000,15.860000,17.080000,15.100000,10.940000,12.540000,12.650000,14.520000,16.220000,17.380000,12.810000,9.820000
2017,15.920000,15.940000,16.200000,14.950000,18.870000,17.390000,15.810000,16.160000,13.700000,17.760000,14.620000,15.640000,12.950000,15.280000,16.840000,14.530000,10.730000,12.060000,12.080000,13.930000,16.190000,17.250000,12.950000,8.940000
2018,15.320000,15.330000,15.630000,14.480000,18.410000,16.810000,14.940000,15.500000,13.110000,16.980000,14.330000,15.070000,12.280000,14.830000,15.860000,13.420000,10.400000,11.630000,11.440000,12.390000,16.220000,16.300000,12.680000,8.640000
