年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,83.090000,83.270000,97.400000,86.530000,76.150000,96.710000,80.100000,97.570000,67.790000,84.740000,76.350000,82.340000,63.660000,76.070000,58.440000,57.360000,56.850000,60.420000,50.920000,79.260000,80.890000,101.630000,71.110000,35.170000
1999,77.410000,77.540000,76.970000,84.960000,64.120000,94.720000,79.050000,92.970000,63.080000,74.550000,73.040000,81.120000,60.490000,72.100000,57.040000,54.370000,61.200000,58.400000,44.360000,76.640000,78.370000,90.330000,69.950000,37.170000
2000,77.170000,77.290000,79.560000,82.800000,76.680000,91.750000,77.900000,92.720000,62.030000,71.920000,73.660000,73.910000,46.200000,71.720000,56.400000,55.270000,61.390000,55.410000,37.400000,70.650000,78.870000,91.850000,70.210000,35.500000
2001,76.160000,76.260000,77.480000,80.880000,82.780000,87.540000,72.910000,95.450000,62.160000,67.140000,66.260000,71.260000,51.550000,77.270000,54.210000,50.640000,63.980000,54.330000,37.270000,66.340000,76.690000,86.630000,72.160000,36.500000
2002,73.640000,73.700000,75.150000,76.770000,78.790000,87.290000,74.800000,87.170000,64.320000,66.630000,62.730000,73.430000,49.440000,75.180000,52.890000,53.200000,59.690000,49.010000,36.600000,60.770000,74.000000,83.220000,76.470000,36.330000
2003,72.880000,72.960000,76.380000,73.660000,88.210000,84.440000,71.770000,89.070000,60.270000,56.970000,58.530000,67.600000,47.490000,76.970000,49.870000,51.770000,59.760000,47.970000,36.670000,63.120000,70.750000,81.090000,68.110000,40.330000
2004,72.930000,73.000000,71.330000,76.170000,88.550000,87.020000,74.230000,88.610000,58.980000,58.640000,62.330000,65.450000,50.140000,74.600000,49.580000,48.590000,57.440000,49.740000,35.070000,62.250000,72.230000,82.540000,67.210000,49.400000
2005,66.910000,66.960000,69.090000,73.800000,72.610000,81.550000,75.320000,79.230000,57.170000,52.430000,53.770000,64.890000,42.260000,68.530000,48.190000,42.900000,37.680000,41.400000,39.600000,58.520000,74.610000,70.100000,63.530000,46.800000
2006,60.620000,60.610000,61.620000,69.190000,61.470000,74.860000,68.410000,72.520000,51.670000,52.050000,54.970000,56.580000,38.370000,61.710000,45.780000,37.580000,31.610000,36.130000,35.470000,54.730000,65.470000,70.710000,70.420000,32.600000
2007,58.410000,58.410000,61.240000,68.720000,58.400000,69.920000,64.230000,69.660000,50.770000,52.490000,56.570000,53.610000,33.970000,60.240000,43.660000,36.930000,27.120000,35.920000,32.600000,53.080000,67.110000,63.350000,64.210000,37.000000
2008,58.294505,58.293894,60.223796,68.848580,65.965157,67.530769,63.279365,68.670157,47.910714,52.647619,52.288462,55.652893,33.737864,58.814815,41.538462,35.714286,26.711340,34.978947,31.562500,55.178571,71.062500,66.612245,65.315789,32.000000
2009,57.811686,57.832320,59.622478,66.796178,69.804878,69.375969,60.500000,67.228117,45.392857,49.813725,48.673077,52.982906,30.586538,63.456311,41.128205,34.521429,26.340206,32.845361,34.000000,55.963636,79.594595,71.041667,62.736842,26.200000
2010,59.534153,59.574878,60.647399,67.925676,77.645390,73.459677,63.090615,69.277628,44.690909,49.990000,50.230000,48.705357,30.481132,69.980769,39.675214,33.507246,26.636364,33.279570,30.437500,57.150943,80.736111,71.354167,60.052632,32.600000
2011,62.534432,62.600133,63.871720,71.285223,75.548387,71.570492,72.338843,44.388889,81.660839,55.021505,49.333333,50.351852,30.779817,72.628866,40.234234,33.100000,29.112245,33.445652,21.642857,55.627451,85.478261,79.347826,60.157895,32.000000
2012,65.020000,65.030000,59.210000,60.580000,77.160000,72.890000,70.990000,71.130000,72.590000,57.410000,61.320000,67.360000,53.640000,86.660000,55.700000,47.470000,35.850000,47.400000,63.110000,56.080000,69.050000,73.250000,73.440000,32.430000
2013,64.190000,64.200000,59.540000,63.520000,75.910000,71.030000,69.200000,72.290000,71.660000,57.810000,58.500000,64.890000,50.850000,82.300000,52.610000,44.300000,34.440000,45.830000,60.520000,55.110000,69.860000,75.260000,70.280000,31.430000
2014,65.060000,65.070000,61.230000,65.790000,77.570000,71.510000,71.050000,74.240000,71.590000,58.120000,56.540000,64.860000,49.860000,81.250000,51.120000,44.400000,34.640000,46.430000,58.150000,56.300000,70.480000,78.140000,67.150000,37.830000
2015,68.740000,68.760000,64.550000,69.410000,74.440000,90.710000,74.190000,73.830000,75.900000,59.560000,57.970000,65.950000,49.880000,86.610000,52.400000,46.010000,35.110000,47.540000,60.560000,56.930000,73.110000,83.350000,71.190000,37.170000
2016,74.230000,74.240000,68.950000,74.080000,83.700000,98.590000,79.070000,81.960000,81.330000,64.080000,61.900000,69.600000,53.950000,90.210000,55.130000,49.210000,36.970000,50.160000,62.410000,60.860000,78.400000,88.860000,74.460000,58.400000
2017,78.400000,78.420000,72.700000,76.510000,88.790000,105.460000,83.480000,85.670000,85.800000,67.090000,65.510000,74.650000,56.840000,93.910000,57.660000,53.770000,38.060000,52.370000,65.410000,65.180000,82.510000,93.710000,77.920000,58.400000
2018,80.616350,80.654903,74.897413,78.821221,92.761092,106.949130,84.303571,86.611111,87.008000,68.669456,65.010811,84.082621,58.016393,97.724138,59.100000,54.621160,39.441667,53.037037,66.777778,68.932692,83.981707,94.685714,75.444444,57.200000
