年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,37.590000,37.620000,38.390000,37.750000,41.570000,40.840000,35.790000,37.400000,35.010000,39.070000,33.400000,37.870000,32.960000,36.180000,35.790000,34.060000,29.100000,31.810000,30.150000,33.260000,39.190000,37.060000,28.890000,27.920000
2015,36.940000,36.970000,37.700000,36.930000,40.850000,39.960000,35.600000,37.090000,34.170000,37.980000,31.980000,37.040000,32.480000,35.640000,36.010000,33.420000,28.580000,30.330000,29.030000,32.440000,38.640000,37.010000,29.040000,27.920000
2016,36.490000,36.510000,37.420000,36.400000,40.240000,39.320000,35.080000,36.690000,33.580000,37.440000,31.380000,36.580000,32.120000,35.300000,35.610000,33.110000,27.900000,29.690000,29.070000,32.240000,38.610000,36.750000,30.170000,27.000000
2017,35.780000,35.810000,36.670000,36.090000,39.190000,38.490000,34.520000,35.680000,32.550000,36.930000,31.430000,36.140000,31.430000,34.190000,35.430000,32.080000,27.130000,28.770000,28.190000,30.750000,38.380000,36.340000,30.160000,23.380000
2018,34.530000,34.550000,35.480000,35.110000,37.520000,37.420000,32.750000,34.060000,31.840000,35.650000,31.400000,34.880000,29.930000,33.020000,33.780000,30.560000,26.750000,28.050000,26.990000,28.110000,38.250000,34.850000,30.070000,23.750000
