年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,2101717.000000,139533.000000,8979.000000,42228.000000,110573.000000,41491.000000,174050.000000,163854.000000,97527.000000,122133.000000,5931.000000,298324.000000,15860.000000,83315.000000,146777.000000,280224.000000,359716.000000,211.000000,9064.000000,1782.000000,145.000000,-,-
1999,-,2101717.000000,139533.000000,8979.000000,42228.000000,110573.000000,41491.000000,174050.000000,163854.000000,97527.000000,122133.000000,5931.000000,298324.000000,15860.000000,83315.000000,146777.000000,280224.000000,359716.000000,211.000000,9064.000000,1782.000000,145.000000,-,-
2000,-,2101717.000000,139533.000000,8979.000000,42228.000000,110573.000000,41491.000000,174050.000000,163854.000000,97527.000000,122133.000000,5931.000000,298324.000000,15860.000000,83315.000000,146777.000000,280224.000000,359716.000000,211.000000,9064.000000,1782.000000,145.000000,-,-
2001,-,2101717.000000,139533.000000,8979.000000,42228.000000,110573.000000,41491.000000,174050.000000,163854.000000,97527.000000,122133.000000,5931.000000,298324.000000,15860.000000,83315.000000,146777.000000,280224.000000,359716.000000,211.000000,9064.000000,1782.000000,145.000000,-,-
2002,-,2101717.000000,139533.000000,8979.000000,42228.000000,110573.000000,41491.000000,174050.000000,163854.000000,97527.000000,122133.000000,5931.000000,298324.000000,15860.000000,83315.000000,146777.000000,280224.000000,359716.000000,211.000000,9064.000000,1782.000000,145.000000,-,-
2003,-,2101718.850000,139533.200000,8979.000000,42227.830000,110573.040000,41491.430000,174049.650000,163853.900000,97527.320000,122133.410000,5930.810000,298324.090000,15860.020000,83315.110000,146777.390000,280223.820000,359716.430000,210.870000,9064.190000,1782.290000,145.050000,-,-
2004,-,2101718.850000,139533.200000,8979.000000,42227.830000,110573.040000,41491.430000,174049.650000,163853.900000,97527.320000,122133.410000,5930.810000,298324.090000,15860.020000,83315.110000,146777.390000,280223.820000,359716.430000,210.870000,9064.190000,1782.290000,145.050000,-,-
2005,-,2101718.850000,139533.200000,8979.000000,42227.830000,110573.040000,41491.430000,174049.650000,163853.900000,97527.320000,122133.410000,5930.810000,298324.090000,15860.020000,83315.110000,146777.390000,280223.820000,359716.430000,210.870000,9064.190000,1782.290000,145.050000,-,-
2006,-,2101718.850000,139533.200000,8979.000000,42227.830000,110573.040000,41491.430000,174049.650000,163853.900000,97527.320000,122133.410000,5930.810000,298324.090000,15860.020000,83315.110000,146777.390000,280223.820000,359716.430000,210.870000,9064.190000,1782.290000,145.050000,-,-
2007,-,2101718.850000,139533.200000,8979.000000,42227.830000,110573.040000,41491.430000,174049.650000,163853.900000,97527.320000,122133.410000,5930.810000,298324.090000,15860.020000,83315.110000,146777.390000,280223.820000,359716.430000,210.870000,9064.190000,1782.290000,145.050000,-,-
