年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,123180.000000,122806.000000,14442.000000,12374.000000,7690.000000,11307.000000,11389.000000,14471.000000,3116.000000,2676.000000,3906.000000,8043.000000,3957.000000,5841.000000,4506.000000,6932.000000,2479.000000,3191.000000,771.000000,2272.000000,1933.000000,1510.000000,349.000000,25.000000
1999,126113.000000,125704.000000,14609.000000,12669.000000,7805.000000,12302.000000,11490.000000,14890.000000,3162.000000,2701.000000,3755.000000,8141.000000,4728.000000,6180.000000,4323.000000,6949.000000,2323.000000,3104.000000,759.000000,2328.000000,1968.000000,1518.000000,365.000000,44.000000
2000,125958.000000,125570.000000,15065.000000,12989.000000,8241.000000,11508.000000,11440.000000,14959.000000,3181.000000,2718.000000,3996.000000,8333.000000,3935.000000,6037.000000,4556.000000,6703.000000,2223.000000,2996.000000,747.000000,2342.000000,2080.000000,1521.000000,351.000000,37.000000
2001,127647.000000,127273.000000,15069.000000,13337.000000,8293.000000,11496.000000,11642.000000,15492.000000,3159.000000,2889.000000,3894.000000,8261.000000,3975.000000,6044.000000,4605.000000,6945.000000,2318.000000,3199.000000,758.000000,2384.000000,1992.000000,1521.000000,327.000000,47.000000
2002,128636.000000,128222.000000,15349.000000,13522.000000,8482.000000,11695.000000,11780.000000,15821.000000,3283.000000,2743.000000,3955.000000,8079.000000,4005.000000,5984.000000,4516.000000,6950.000000,2352.000000,3074.000000,751.000000,2476.000000,1933.000000,1472.000000,368.000000,46.000000
2003,130801.000000,130415.000000,16115.000000,13777.000000,8675.000000,12171.000000,12040.000000,15994.000000,3104.000000,2722.000000,3900.000000,8309.000000,3994.000000,5892.000000,4479.000000,7137.000000,2298.000000,3103.000000,749.000000,2462.000000,1964.000000,1530.000000,344.000000,42.000000
2004,135092.000000,134670.000000,16386.000000,14016.000000,9081.000000,12596.000000,12263.000000,16487.000000,3161.000000,2921.000000,4173.000000,8354.000000,4111.000000,6353.000000,4815.000000,7354.000000,2382.000000,3113.000000,843.000000,2557.000000,2050.000000,1654.000000,372.000000,50.000000
2005,139398.000000,138924.000000,16978.000000,14516.000000,9423.000000,13000.000000,12953.000000,16974.000000,3221.000000,3104.000000,4257.000000,8743.000000,4110.000000,6380.000000,4865.000000,7567.000000,2429.000000,3250.000000,752.000000,2640.000000,2155.000000,1607.000000,420.000000,54.000000
2006,135839.000000,135352.000000,16484.000000,14011.000000,9215.000000,12914.000000,12572.000000,16839.000000,3217.000000,2935.000000,4179.000000,8578.000000,4090.000000,6328.000000,4608.000000,7183.000000,2267.000000,3065.000000,782.000000,2489.000000,2047.000000,1549.000000,442.000000,45.000000
2007,141111.000000,140658.000000,17581.000000,14871.000000,9507.000000,13487.000000,12819.000000,17270.000000,3305.000000,2978.000000,4353.000000,8768.000000,4312.000000,6500.000000,4720.000000,7385.000000,2369.000000,3217.000000,789.000000,2602.000000,2202.000000,1623.000000,412.000000,41.000000
2008,143624.000000,143172.000000,17882.000000,15606.000000,9677.000000,13826.000000,13040.000000,17517.000000,3441.000000,3278.000000,4255.000000,8754.000000,4291.000000,6476.000000,4964.000000,7523.000000,2200.000000,3170.000000,765.000000,2647.000000,2200.000000,1660.000000,410.000000,42.000000
2009,143582.000000,143065.000000,17959.000000,15260.000000,9790.000000,13805.000000,12990.000000,18189.000000,3301.000000,3174.000000,4282.000000,8795.000000,4251.000000,6446.000000,4759.000000,7387.000000,2312.000000,3099.000000,756.000000,2577.000000,2212.000000,1721.000000,471.000000,46.000000
2010,145772.000000,145243.000000,18404.000000,15398.000000,10183.000000,14340.000000,13206.000000,18001.000000,3368.000000,3383.000000,4302.000000,8934.000000,4254.000000,6279.000000,4970.000000,7410.000000,2276.000000,3099.000000,848.000000,2665.000000,2180.000000,1743.000000,481.000000,48.000000
2011,152915.000000,152316.000000,19774.000000,15988.000000,10878.000000,14915.000000,13941.000000,18845.000000,3490.000000,3458.000000,4525.000000,9349.000000,4578.000000,6478.000000,5045.000000,7873.000000,2329.000000,3137.000000,910.000000,2725.000000,2339.000000,1739.000000,550.000000,49.000000
2012,154251.000000,153641.000000,20280.000000,16579.000000,10977.000000,15017.000000,13871.000000,18945.000000,3476.000000,3390.000000,4532.000000,9370.000000,4542.000000,6680.000000,5087.000000,7727.000000,2425.000000,3167.000000,828.000000,2681.000000,2367.000000,1700.000000,571.000000,39.000000
2013,155908.000000,155301.000000,20746.000000,16379.000000,10972.000000,15138.000000,14021.000000,19277.000000,3531.000000,3515.000000,4670.000000,9298.000000,4617.000000,6825.000000,5127.000000,7604.000000,2357.000000,3224.000000,786.000000,2830.000000,2533.000000,1851.000000,544.000000,63.000000
