年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,2.313031,2.264909,0.936891,2.544497,1.801796,0.628606,1.858360,3.437901,2.374904,1.008148,1.145091,1.170444,3.688383,2.230504,22.282294,1.327218,8.174794,9.304434,13.958054,-,3.681307,2.137726,14.154289,21.093662
2002,2.338533,2.304107,1.322417,2.439270,1.773913,1.744401,1.862191,3.476432,2.598249,3.284659,1.207275,1.147031,3.688383,2.211534,6.559620,3.174422,8.266732,0.818057,13.958054,3.441308,3.805072,2.082812,13.032192,-
2003,2.516342,2.479972,1.277886,2.585780,1.870118,2.747383,2.074836,3.589992,2.581675,3.398880,1.006101,1.458672,2.729637,2.202053,7.055375,3.645378,8.297616,0.818057,16.073011,3.434359,3.402551,2.069779,12.536281,5.700659
2004,2.651429,2.616405,1.332943,2.656196,2.046653,2.820790,2.483080,3.634874,2.563963,3.327326,1.020276,1.693829,2.734873,2.282943,9.600941,3.875725,8.395774,1.013938,15.572254,3.550887,3.455449,2.154686,11.860804,5.363821
2005,2.665188,2.619308,1.295404,2.646650,2.073299,2.795852,2.541517,3.589193,2.598941,3.166006,1.009508,1.679666,3.627084,2.375941,9.615772,3.926443,8.409337,1.029899,17.399114,3.438875,3.591702,2.260941,11.401287,22.600290
2006,2.780697,2.736161,1.300558,2.691356,2.065897,2.797964,2.802785,4.348021,2.544152,3.139484,1.001751,1.750863,3.636097,2.606400,9.169626,3.466061,8.342762,1.002155,19.266428,3.508408,3.596125,2.289950,10.538155,23.891273
2007,3.025378,2.983657,1.298763,2.763401,2.087488,3.975943,2.998456,4.620197,2.570985,3.200961,2.286937,1.754311,3.633501,2.604831,9.311058,3.476268,8.324688,1.000812,16.955512,3.510529,3.469409,2.828597,9.876102,23.506937
2008,3.108333,3.067604,1.317338,2.787642,2.037017,3.980845,3.984434,4.742783,2.532690,2.964337,1.892694,1.843003,3.651383,2.251211,9.432814,3.175516,8.476972,1.001394,7.389955,3.523326,3.479936,3.149460,9.472626,23.840114
2009,3.227758,3.189972,1.259013,2.684043,2.295552,3.787537,4.222515,4.775594,2.673027,2.919037,2.638184,1.748762,3.765051,2.291682,9.695385,3.258376,7.894601,8.893592,7.535257,3.529297,3.525200,3.148678,8.503795,23.570924
2010,3.464150,3.427911,1.352631,2.650005,2.273079,4.382633,4.778426,4.980482,2.687286,3.554022,3.553352,2.057024,3.857839,2.309093,8.860621,3.291510,8.068453,12.238067,7.682226,3.567765,3.491425,3.191380,8.227887,23.347314
2011,3.945010,3.913691,1.317161,2.643156,2.257328,4.395023,4.681230,8.532206,2.576037,3.700178,3.602337,2.144272,3.881157,2.414032,8.849767,3.105860,8.068453,15.163152,9.048789,3.533876,3.441248,3.201535,7.663242,23.347314
2012,4.172715,4.144780,2.091088,2.630357,2.275702,4.361789,4.816400,8.926644,2.803531,3.664830,2.933157,1.859031,3.899109,2.396850,12.103724,3.146648,10.018556,15.434148,9.100725,3.598399,3.395564,3.205147,7.082423,23.347314
2013,4.261187,4.234470,2.143171,2.643863,2.268002,4.270121,5.031239,9.263532,2.853585,3.797708,3.144060,2.023817,4.365698,2.404741,11.971109,3.565284,9.233227,15.398150,9.148292,3.619763,3.524942,3.209265,6.673776,23.268093
2014,4.334287,4.307971,2.180709,2.650484,2.261437,4.332941,5.127137,9.473162,2.890566,3.938815,3.080722,2.216367,4.375382,3.217952,12.139684,3.528107,7.743948,16.121367,9.051347,3.638659,3.410063,3.209135,6.673776,23.268093
2015,5.395242,5.345218,2.209538,2.729546,2.177443,9.998515,5.214572,9.812493,2.890566,3.795219,3.058115,9.477385,4.436946,3.488868,12.443064,3.160009,8.853448,16.294624,9.189499,3.664288,5.316516,4.581937,10.940745,20.905396
2016,5.608955,5.560555,2.355211,2.890037,3.311909,9.624571,5.294602,10.553785,2.790581,3.643557,3.276418,9.465660,4.495143,3.835497,12.576122,3.133800,8.843305,16.182022,7.346036,3.664338,5.244566,4.601407,10.967854,20.825724
2017,5.627516,5.580633,2.430574,2.918425,3.269508,9.616537,5.329010,10.635875,3.474045,3.881557,3.918942,9.395689,4.151290,3.859571,12.061650,2.918368,9.505640,16.225704,7.204166,3.769740,3.311696,4.609537,10.599559,20.364907
2018,5.667850,5.621615,2.312183,2.969078,3.216244,9.557812,5.358346,10.819624,3.225008,3.882528,3.719828,10.672412,4.238127,4.363258,12.671124,3.160633,9.440010,16.278683,7.197429,3.691427,3.275915,4.459188,10.512948,20.364907
