年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,0.458505,0.449204,0.186148,1.150077,-,0.125609,0.121988,0.051082,0.898069,0.501731,0.347313,0.348302,0.368650,0.248336,-,-,0.745629,0.269978,-,0.619598,-,-,1.583281,13.812155
1999,1.270456,1.146354,0.270923,5.898569,-,0.243336,0.471109,1.086232,1.087737,0.485272,0.502327,0.335390,0.359576,0.240154,-,-,0.734053,1.069462,-,0.601395,-,-,1.498801,13.586957
2000,2.748128,2.639074,2.596968,7.854048,1.702655,1.001514,1.822251,3.050190,4.217007,0.704341,1.139434,1.295945,1.394068,0.347673,0.573345,0.881630,1.808122,1.843949,-,3.800392,1.924496,4.332756,1.425720,13.440860
2001,3.334419,3.216193,4.299263,7.943843,2.727769,1.886361,2.494153,3.423818,4.706075,0.678626,0.954396,1.486628,1.693451,0.448667,0.974659,1.717033,1.792822,2.354172,-,5.082449,2.835271,2.950350,1.337256,12.150668
2002,3.844828,3.732897,8.558555,1.809133,8.688484,1.270297,2.428521,0.403316,1.393895,3.909814,4.160311,0.984371,1.809687,1.627869,5.685125,3.873372,11.355571,1.806498,6.752194,-,6.148360,4.080966,30.410542,82.352941
2003,3.961233,3.853691,5.053840,7.413459,3.555826,2.408040,4.110152,3.948299,4.637233,2.306128,0.901266,2.284468,2.081332,1.369214,2.365371,3.676283,2.452011,2.799908,-,5.651390,3.005711,2.745206,1.200913,11.363636
2004,4.120020,4.017104,5.660177,7.086158,3.754419,2.581964,4.213490,4.073012,4.872107,2.426546,0.878027,2.566424,2.173204,1.535627,2.693344,4.291417,2.079146,2.761668,-,5.773521,3.226185,3.050641,1.147447,10.940919
2005,4.114031,4.015240,5.935885,6.637296,3.648856,2.644209,4.260182,4.096300,4.714244,2.122610,0.857486,2.701355,1.962738,1.493488,2.878490,4.489995,2.747913,2.721560,-,5.851077,3.144654,3.313453,1.082134,10.309278
2006,4.127626,4.032876,6.202484,5.906675,3.602450,2.650781,4.543478,4.262941,5.120509,2.233514,0.977695,2.899665,2.059157,1.555679,2.810362,4.379659,2.714809,2.683516,0.725058,5.957996,3.334167,3.224420,1.023856,10.298661
2007,4.276401,4.185640,6.543724,5.405148,3.458108,2.807845,4.851408,4.633463,5.857726,2.538485,1.235059,3.426779,2.019473,1.719247,2.884615,4.589046,2.704347,2.660153,0.720825,6.318808,3.264418,3.854780,0.968148,10.193680
2008,4.337654,4.250157,6.655641,5.015868,3.553232,2.822287,4.939758,5.078103,5.919562,2.838742,1.486306,3.422468,1.849375,1.876842,2.967606,4.699811,3.001200,2.866562,0.718856,6.205399,3.450839,3.432769,0.929454,10.405827
2009,4.337480,4.252965,6.584145,4.871870,3.396215,2.923381,4.853404,4.998340,6.494588,2.777537,1.603142,3.434830,1.829105,2.041479,2.933653,4.716553,3.645523,2.836611,0.710379,7.051689,3.111146,3.362475,0.882068,10.438413
2010,4.232497,4.149019,6.080668,4.579610,3.211810,2.782282,5.106172,4.939742,5.968763,2.796274,1.596636,3.164377,1.961718,2.223025,2.939931,4.895428,4.318076,2.828988,0.712504,7.084494,2.820874,4.012304,0.856825,10.660981
2011,4.157027,4.079701,5.919654,4.228280,3.084772,2.721644,5.075608,4.837846,6.098968,2.789643,1.854968,3.204443,1.948639,2.476746,2.825724,4.794688,4.325547,3.042644,0.710076,7.056997,2.773785,4.285620,0.807559,10.245902
2012,3.980537,3.901492,5.404702,3.470469,3.156095,2.549374,4.934284,4.603259,6.869817,3.106608,1.833373,3.268720,1.929943,2.632439,3.036957,4.535228,4.266492,2.997809,1.417434,6.887369,2.698195,4.813709,1.549427,9.487666
2013,3.841292,3.765322,5.254973,3.088760,2.914330,2.444641,4.699187,4.490346,6.121726,3.228876,1.937934,3.191790,1.893401,3.045804,2.874918,4.593875,4.541621,2.946710,1.392079,6.675270,2.379140,4.667372,1.475579,8.818342
2014,3.784683,3.712569,5.118027,2.943287,2.975103,2.402673,4.500867,4.306075,6.147735,3.149763,2.030328,3.223878,1.983052,3.435064,2.828214,4.901132,4.130000,2.875088,1.359157,6.407792,2.287230,4.499640,1.399384,8.445946
2015,3.631007,3.562010,4.869808,2.755635,2.946521,2.266963,4.214041,4.194631,6.290466,2.743706,1.862336,2.958159,2.064276,3.385005,2.782632,4.758154,4.051864,2.997794,1.323802,6.105752,2.194330,4.356160,1.347618,8.123477
2016,3.483462,3.418528,4.528781,2.600625,2.871140,2.153002,4.197134,4.122012,5.899009,2.654591,1.691414,2.787464,1.871841,3.452225,2.818917,4.487624,3.932244,2.877757,1.283779,5.774895,2.284955,3.860152,1.268311,7.770008
2017,3.362900,3.301720,4.359102,2.368071,2.796563,2.121149,4.017470,3.976083,5.855052,2.870958,1.757243,2.585766,2.053636,3.383117,2.754704,4.415784,3.805843,2.773815,1.236858,5.452067,2.167231,3.670687,1.188284,7.347539
2018,3.197887,3.139786,4.020715,2.267598,2.606501,1.995001,3.883440,3.698047,5.643962,2.773075,1.710591,2.447693,1.991448,3.317769,2.793123,4.182872,3.970730,3.258953,1.792650,5.172592,1.871678,3.523165,1.123280,6.816633
