年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,51347.000000,50686.000000,1080.000000,13153.000000,1162.000000,3818.000000,6784.000000,4568.000000,2372.000000,828.000000,1532.000000,2197.000000,1819.000000,1425.000000,2055.000000,2378.000000,1797.000000,946.000000,477.000000,730.000000,798.000000,767.000000,661.000000,-
2004,47319.000000,46835.000000,935.000000,11543.000000,1330.000000,3288.000000,6276.000000,4464.000000,2419.000000,673.000000,1170.000000,1925.000000,1454.000000,1249.000000,1914.000000,2443.000000,2008.000000,956.000000,439.000000,798.000000,853.000000,698.000000,484.000000,-
2005,44499.000000,44198.000000,1279.000000,8861.000000,1551.000000,3342.000000,5968.000000,4116.000000,2195.000000,761.000000,1104.000000,1415.000000,1384.000000,1257.000000,1714.000000,2619.000000,2215.000000,1835.000000,603.000000,670.000000,622.000000,687.000000,301.000000,-
2006,42776.000000,42526.000000,347.000000,9539.000000,1678.000000,3298.000000,5715.000000,3620.000000,2333.000000,665.000000,1017.000000,1125.000000,1505.000000,975.000000,1405.000000,2648.000000,2366.000000,1705.000000,648.000000,670.000000,577.000000,690.000000,250.000000,-
2007,38653.000000,38349.000000,348.000000,9594.000000,1846.000000,2653.000000,5314.000000,3709.000000,1690.000000,761.000000,658.000000,680.000000,1408.000000,877.000000,1305.000000,2753.000000,1684.000000,1066.000000,334.000000,552.000000,502.000000,615.000000,304.000000,-
2008,37124.000000,36597.000000,191.000000,9536.000000,1485.000000,2559.000000,5072.000000,3616.000000,1240.000000,1028.000000,611.000000,646.000000,1607.000000,904.000000,645.000000,2785.000000,1531.000000,1040.000000,337.000000,648.000000,448.000000,668.000000,323.000000,204.000000
2009,34083.000000,33570.000000,283.000000,6902.000000,1485.000000,2435.000000,4859.000000,3703.000000,1205.000000,789.000000,921.000000,490.000000,1465.000000,890.000000,601.000000,3094.000000,1322.000000,1048.000000,312.000000,672.000000,449.000000,645.000000,325.000000,188.000000
2010,36021.000000,35498.000000,233.000000,7505.000000,3557.000000,2462.000000,4875.000000,3934.000000,1090.000000,451.000000,955.000000,397.000000,1389.000000,824.000000,731.000000,3031.000000,1306.000000,821.000000,307.000000,593.000000,487.000000,550.000000,352.000000,171.000000
2011,30140.000000,29538.000000,256.000000,6826.000000,1347.000000,1368.000000,4113.000000,3950.000000,687.000000,338.000000,694.000000,476.000000,1047.000000,596.000000,871.000000,3070.000000,1075.000000,1109.000000,250.000000,363.000000,488.000000,614.000000,429.000000,173.000000
2012,28449.000000,27868.000000,302.000000,6717.000000,1311.000000,1262.000000,2660.000000,3795.000000,592.000000,352.000000,1227.000000,454.000000,699.000000,331.000000,984.000000,3126.000000,1390.000000,1015.000000,228.000000,241.000000,381.000000,801.000000,382.000000,199.000000
2013,30766.000000,30131.000000,440.000000,6747.000000,890.000000,1492.000000,2609.000000,3525.000000,378.000000,767.000000,973.000000,993.000000,674.000000,432.000000,792.000000,5108.000000,1725.000000,796.000000,239.000000,224.000000,380.000000,947.000000,425.000000,210.000000
2014,29409.000000,28669.000000,382.000000,5938.000000,1469.000000,1256.000000,2849.000000,3326.000000,550.000000,730.000000,1316.000000,995.000000,990.000000,263.000000,614.000000,3655.000000,1507.000000,1075.000000,292.000000,226.000000,409.000000,827.000000,476.000000,264.000000
2015,22820.000000,22208.000000,277.000000,4518.000000,1473.000000,1002.000000,1830.000000,3078.000000,475.000000,794.000000,1394.000000,1049.000000,869.000000,251.000000,517.000000,577.000000,1226.000000,1554.000000,210.000000,195.000000,263.000000,656.000000,459.000000,153.000000
2016,21222.000000,20507.000000,307.000000,3839.000000,1250.000000,978.000000,1593.000000,2809.000000,908.000000,550.000000,1208.000000,1169.000000,966.000000,277.000000,511.000000,241.000000,1176.000000,1326.000000,222.000000,281.000000,197.000000,699.000000,553.000000,162.000000
2017,21258.000000,20356.000000,264.000000,3940.000000,1162.000000,1045.000000,1758.000000,2724.000000,851.000000,273.000000,1244.000000,889.000000,760.000000,236.000000,649.000000,198.000000,1244.000000,1139.000000,175.000000,571.000000,229.000000,1005.000000,678.000000,224.000000
2018,21500.000000,20553.000000,1394.000000,3740.000000,925.000000,1040.000000,2026.000000,2751.000000,784.000000,149.000000,1208.000000,836.000000,378.000000,174.000000,910.000000,221.000000,954.000000,1001.000000,166.000000,636.000000,403.000000,857.000000,726.000000,221.000000
