年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,142469.704000,140940.968000,6766.165000,68361.698000,3604.889000,9525.347000,7435.205000,13041.546000,1829.635000,3276.199000,3401.645000,3517.810000,2044.547000,2547.618000,2413.891000,222.635000,2689.087000,2458.479000,1131.552000,3020.199000,2681.446000,971.365000,1293.363000,235.373000
1999,93679.776000,92322.042000,4448.188000,34080.932000,3935.407000,5126.373000,5515.137000,6022.037000,1963.182000,3221.738000,2219.876000,4220.364000,2498.557000,3595.752000,2526.694000,1262.896000,2421.334000,2427.807000,1358.695000,1823.047000,1809.283000,1844.733000,940.949000,416.784000
2000,68938.950000,63912.978000,6215.289000,38203.581000,-573.710000,24.927000,-592.812000,3179.291000,-898.865000,686.573000,2155.248000,80.066000,7460.954000,378.543000,3937.562000,-1192.760000,415.527000,-965.072000,1080.652000,1849.413000,2197.812000,270.755000,4292.274000,733.698000
2001,35925.445000,31173.560000,-848.995000,10080.784000,-5661.859000,6677.386000,591.838000,1653.843000,-233.715000,387.739000,2611.129000,3507.950000,4714.821000,-2310.185000,403.617000,1148.322000,954.533000,1289.254000,142.976000,1967.844000,2704.684000,1391.589000,3584.030000,1167.854000
2002,58602.411000,56084.961000,-3766.801000,11105.760000,3516.287000,4568.651000,2852.086000,9647.590000,1310.662000,1718.385000,4648.333000,2733.936000,6992.812000,-6.207000,2221.784000,682.898000,657.329000,835.263000,1246.229000,2550.294000,1305.686000,1263.976000,1614.538000,902.911000
2003,105224.690000,101130.675000,18547.428000,12596.085000,5554.093000,10546.752000,6993.917000,15098.877000,1618.893000,628.184000,4316.133000,2670.957000,3258.692000,2165.018000,1808.025000,3664.312000,1982.452000,2130.368000,1789.081000,2202.069000,1540.675000,2018.654000,2923.056000,1170.958000
2004,155947.378000,150558.492000,15338.484000,35224.448000,9833.100000,8719.048000,7884.949000,33568.905000,3267.030000,3105.860000,4034.473000,3592.175000,1660.449000,3882.733000,1339.981000,3446.704000,1712.576000,2198.935000,2164.956000,3871.096000,3385.728000,2326.854000,3919.554000,1469.331000
2005,159096.672000,153734.264000,20030.677000,43997.568000,4213.120000,10226.554000,6757.093000,38386.655000,1321.747000,1888.429000,5025.054000,4012.667000,624.611000,3027.121000,2054.743000,1869.602000,946.349000,1875.098000,1285.323000,3502.934000,1131.139000,1557.770000,3598.807000,1763.600000
2006,127272.957000,123039.748000,6967.542000,38851.301000,2059.106000,8765.074000,7165.480000,27308.568000,2248.977000,1782.876000,3010.028000,2919.946000,1486.192000,3026.656000,3975.797000,3503.134000,1313.454000,2294.554000,645.556000,2893.855000,1294.851000,1526.793000,3253.440000,979.768000
2007,130477.233000,125582.095000,9407.168000,45146.366000,785.697000,10964.288000,5965.916000,12793.481000,1726.642000,2750.802000,3316.044000,3763.813000,6535.754000,4481.165000,5265.631000,3375.806000,1369.899000,2681.162000,989.919000,1376.361000,1834.591000,1051.582000,3854.028000,1041.108000
