年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,3018.000000,3018.000000,2529.000000,3491.000000,1976.000000,2212.000000,2266.000000,2282.000000,4016.000000,-,1756.000000,-,7211.000000,-,2630.000000,3273.000000,3362.000000,2454.000000,1440.000000,2015.000000,3004.000000,2395.000000,-,-
2010,3074.000000,3074.000000,2581.000000,3593.000000,1960.000000,2232.000000,2384.000000,2297.000000,4457.000000,3609.000000,1612.000000,-,7252.000000,-,2470.000000,3378.000000,3160.000000,2591.000000,1625.000000,2095.000000,3045.000000,2496.000000,-,-
2011,3279.000000,3279.000000,3347.000000,3824.000000,2045.000000,2330.000000,2520.000000,2566.000000,4770.000000,3429.000000,1790.000000,-,8277.000000,-,2518.000000,3752.000000,3265.000000,2476.000000,1421.000000,2127.000000,3102.000000,2578.000000,-,-
2012,3445.000000,3445.000000,3469.000000,4097.000000,2103.000000,2376.000000,2679.000000,2609.000000,4831.000000,3622.000000,1899.000000,-,8650.000000,-,3071.000000,3881.000000,3465.000000,2398.000000,1327.000000,2263.000000,3303.000000,2496.000000,-,-
2013,3621.000000,3621.000000,3622.000000,4380.000000,2183.000000,2444.000000,2832.000000,2601.000000,5017.000000,3663.000000,2002.000000,-,8943.000000,-,4170.000000,4012.000000,3727.000000,2711.000000,1498.000000,2291.000000,3123.000000,2409.000000,-,-
2014,3712.000000,3712.000000,3685.000000,4525.000000,2267.000000,2416.000000,2958.000000,2551.000000,5443.000000,3705.000000,1710.000000,-,8827.000000,-,3876.000000,4198.000000,3671.000000,2767.000000,1627.000000,2308.000000,3136.000000,2463.000000,-,-
2015,3798.000000,3798.000000,3788.000000,4560.000000,2396.000000,2464.000000,3179.000000,2563.000000,6220.000000,3688.000000,1839.000000,-,9230.000000,-,4343.000000,4117.000000,3772.000000,2904.000000,2014.000000,2256.000000,3130.000000,2464.000000,-,-
2016,3830.000000,3832.000000,4040.000000,4525.000000,2472.000000,2425.000000,3180.000000,2576.000000,6226.000000,3736.000000,2004.000000,-,9212.000000,-,4426.000000,4434.000000,3873.000000,2924.000000,4106.000000,2386.000000,3129.000000,2517.000000,1547.000000,-
2017,3762.000000,3766.000000,3896.000000,4373.000000,2456.000000,2418.000000,3144.000000,2576.000000,6133.000000,3842.000000,2124.000000,-,9174.000000,-,5108.000000,4121.000000,3492.000000,3108.000000,3108.000000,2572.000000,3059.000000,2300.000000,1306.000000,-
2018,3737.000000,3740.000000,3840.000000,4357.000000,2493.000000,2522.000000,3056.000000,2460.000000,5836.000000,3914.000000,1996.000000,-,9045.000000,-,5373.000000,3602.000000,3488.000000,3114.000000,2738.000000,2638.000000,3047.000000,2186.000000,1293.000000,-
