年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,150.280804,150.714934,176.354731,98.748758,393.076284,137.501012,111.236701,44.618806,122.864075,748.898678,183.924044,192.569828,85.135871,-,44.026243,47.135719,212.180462,160.675913,80.192462,-,147.004778,29.744200,-,-
2000,184.005940,137.021673,159.933041,196.250399,133.030955,119.977887,144.765216,91.443973,137.814793,256.211180,359.229271,159.105154,37.109110,-,38.493471,102.210900,43.831743,281.190562,147.383935,89.879561,272.771554,59.451589,-,-
2001,195.455679,147.447980,170.706077,197.784725,174.771684,121.385856,205.212559,115.955158,178.812573,225.271350,318.393934,148.844321,75.795024,-,37.864726,107.352816,66.645509,227.987029,142.416330,83.605050,204.259777,122.303758,-,-
2002,200.465314,157.046814,204.291303,141.645376,201.918516,160.906089,217.327025,194.653517,326.944261,74.590864,147.824368,101.824668,-,31.115813,245.162134,83.396009,93.743025,52.249114,249.205162,130.378096,125.767552,302.235092,165.904734,140.943623
2003,220.445281,168.081441,232.696959,196.464939,212.828388,158.267438,266.458380,119.100272,190.367950,183.235646,326.727370,139.073336,77.695866,9.374531,61.883463,89.092402,100.347356,235.992033,224.550898,130.908089,340.277201,148.166339,-,-
2004,220.486201,171.459211,218.027924,192.387145,189.899497,186.678264,277.816286,134.245412,178.690492,169.207397,271.093629,165.831521,83.435499,10.295268,59.613398,80.919932,66.365008,223.843883,171.624714,122.778675,494.980695,159.687722,-,-
2005,214.245200,166.557550,184.535205,198.800390,197.728369,188.360273,254.420811,125.218404,179.214403,197.374725,304.278452,153.180502,92.011149,10.239607,97.914987,78.832243,71.622355,221.599903,164.143717,153.997782,290.302167,150.852833,54.782013,-
2006,204.685963,159.116921,169.607382,199.480390,200.956050,176.016924,262.181118,119.457453,165.182842,227.197530,218.245464,143.038144,71.961018,9.436099,87.554029,102.397172,69.084629,209.428100,161.957891,120.680520,247.271617,129.559333,50.515681,-
2007,202.839061,159.066672,164.251435,196.543485,195.677271,153.966912,261.852160,119.529948,158.981562,225.802916,219.424836,157.208966,106.215330,8.938787,85.509403,100.008422,69.959277,209.733799,156.548965,145.001706,354.553937,136.821892,49.362402,-
2008,211.015919,166.976759,161.914900,209.734971,215.322137,147.086222,278.159581,123.512030,171.455322,220.710344,221.664859,156.655883,151.909722,31.832886,84.401709,125.748128,127.801809,207.715134,153.269755,136.663008,329.510814,132.419380,289.108911,-
2009,214.644567,171.943672,150.684145,216.258445,238.440333,153.273088,285.100479,117.679567,188.280277,253.511129,215.905715,168.795199,153.364066,32.982118,110.900872,119.191675,127.663753,222.197030,99.866844,131.107835,321.988420,211.204314,295.486744,-
2010,217.923930,175.622440,156.251118,212.446801,239.493096,154.799907,278.947656,117.764991,218.902241,261.648036,209.682591,178.034385,142.483622,36.117293,138.855638,138.886073,123.415769,231.132075,98.167539,125.589502,300.935340,206.684257,281.147699,-
2011,214.042434,173.710374,147.228163,207.733936,235.966873,167.953284,267.088839,118.096961,216.076884,256.497285,206.543709,172.971453,140.816445,37.150086,136.617027,137.771521,125.494739,221.268036,96.447516,124.500000,329.393014,200.284091,265.454545,-
2012,212.605077,173.506132,142.474275,203.219623,219.508578,164.720082,261.417593,119.308738,230.715522,350.480769,207.303157,172.124265,141.958144,45.769849,130.341825,140.639486,151.092515,212.837209,94.861660,126.996726,297.701218,190.509421,300.972656,-
2013,216.209394,172.402544,140.991111,207.376760,241.680341,161.034387,245.611424,125.092964,219.266374,261.845387,201.484950,167.473985,142.983491,53.217126,129.930156,141.729779,144.943695,219.561642,94.221106,121.419829,304.326268,226.231783,280.725779,-
2014,205.434637,162.592246,134.304964,202.734559,201.270921,149.794140,235.377653,103.686552,218.879112,275.113693,205.433660,163.506644,133.469626,52.706467,130.080465,138.379493,165.662651,201.769776,94.547747,109.677731,282.447882,223.947242,282.223369,-
2015,201.843119,159.505605,136.170585,202.785023,203.258202,146.093443,227.797301,93.580147,219.648057,268.288399,202.954245,162.859116,123.359350,52.369472,122.152355,138.963016,168.291024,185.762042,55.476304,109.195402,278.380333,250.256410,282.271945,-
2016,193.189364,151.418691,129.358933,199.076888,202.164362,129.434403,204.388338,87.578268,218.390081,243.492863,189.650015,160.962511,122.524824,52.044464,122.753406,140.092604,170.925414,183.795665,112.233446,109.546166,230.482362,215.345026,282.612442,-
2017,192.119577,150.243847,127.538289,195.436786,195.127302,128.571662,211.985450,94.757198,215.863454,197.020016,177.051514,145.017243,119.557196,52.096644,123.331512,151.353698,173.623290,182.717354,111.856823,107.654368,231.088644,207.792208,282.953761,-
2018,190.693522,149.214873,126.362099,193.752537,190.225519,126.416037,200.799517,93.925711,215.532095,195.885949,188.495575,161.557035,115.894040,52.050597,123.659701,148.416822,175.448960,182.993686,112.703268,107.323531,223.876154,206.759443,280.150325,-
