年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,782136.000000,21997.000000,5568.000000,38248.000000,62874.000000,95423.000000,58520.000000,26438.000000,26587.000000,43095.000000,99160.000000,48805.000000,79480.000000,60336.000000,62353.000000,21349.000000,20525.000000,3141.000000,399.000000,4474.000000,3364.000000,-,-
1999,-,787407.000000,22700.000000,5281.000000,37371.000000,62566.000000,96173.000000,59172.000000,27148.000000,27142.000000,43943.000000,97728.000000,49009.000000,80347.000000,61081.000000,63289.000000,21862.000000,20969.000000,3318.000000,343.000000,4655.000000,3310.000000,-,-
2000,724645.000000,721161.000000,20558.000000,5743.000000,37283.000000,59656.000000,84147.000000,53214.000000,27037.000000,24871.000000,40307.000000,89851.000000,45464.000000,72367.000000,56279.000000,56249.000000,17199.000000,19245.000000,3107.000000,420.000000,4689.000000,3475.000000,3379.000000,105.000000
2001,-,745812.000000,19341.881127,5234.888821,37343.843466,61373.394673,87690.013368,57159.917316,28026.805117,25472.776710,42251.423881,94397.790017,46134.119850,76218.876570,59382.950428,56936.320092,16598.627548,19645.664242,4337.000000,531.000000,4354.224641,3380.482132,-,-
2002,-,748317.034870,22287.574326,5066.000000,38588.285822,61233.530236,87427.725268,58479.143161,27384.373084,24689.513970,43071.495378,93573.895176,45324.405819,76364.619432,60154.353245,56280.621743,17033.524063,18800.290964,4460.000000,564.000000,4472.931679,3060.751503,-,-
2003,-,755454.000000,22478.000000,5727.000000,39287.000000,62772.000000,90437.000000,58011.000000,28845.000000,25235.000000,42749.000000,95523.000000,44474.000000,75547.000000,60390.000000,55061.000000,16207.000000,17901.000000,5121.000000,647.000000,5167.000000,3875.000000,-,-
2004,-,759716.000000,23581.000000,5947.000000,39366.000000,62985.000000,90600.000000,59737.000000,29296.000000,24970.000000,43376.000000,95480.000000,45500.000000,75166.000000,60194.000000,54655.000000,15902.000000,17289.000000,5837.000000,729.000000,4954.000000,4152.000000,-,-
2005,-,767316.000000,27380.000000,6715.000000,41443.000000,64501.000000,91476.000000,61094.000000,28143.000000,26308.000000,38149.000000,89303.000000,45953.000000,73796.000000,57077.000000,62127.000000,17745.000000,19024.000000,6546.000000,788.000000,5054.000000,4694.000000,4186.000000,77.000000
2006,-,756366.000000,25984.000000,6794.000000,43244.000000,61900.000000,90684.000000,58988.000000,28446.000000,27156.000000,37721.000000,87919.000000,43065.000000,71668.000000,59847.000000,59833.000000,17127.000000,18883.000000,6378.000000,742.000000,5096.000000,4891.000000,-,-
2007,772230.000000,772230.000000,27329.849127,6743.880011,41718.656094,64809.540565,92108.445475,61915.145600,28339.360560,26090.396642,38719.813844,89629.831049,46182.773243,74540.211218,57544.105626,62074.829430,17728.922389,18992.332821,6574.153173,786.556651,5404.477097,4996.719385,-,-
